,LDI,Mac,Mnc,Mpc,QCmax,QCmin,QCss,QHmax,QHmin,QHss,QNmax,QNmin,QNss,QOmax,QOmin,QOss,Qass,Qmax,Qmin,Rnc,Rpc,SPP,Tac,Tnc,Tpc
0,0.226,0.142,-0.19,0.114,0.294,-0.03,0.187,0.077,0.064,0.015,0.064,0.062,0.008,-0.258,-0.258,0.267,0.483,0.294,-0.258,0.227,0.258,0.552,2.279,-1.14,1.14
1,0.312,0.218,-0.264,0.185,0.339,-0.057,0.186,0.297,0.062,0.272,0.0,0.0,0.0,-0.246,-0.504,0.797,1.255,0.339,-0.504,0.273,0.183,0.843,3.698,-1.849,1.849
2,0.289,0.164,-0.377,0.105,0.157,0.027,0.063,0.213,0.035,0.209,0.0,0.0,0.0,-0.344,-0.394,0.711,0.983,0.213,-0.394,0.209,0.113,0.607,3.767,-1.884,1.884
3,0.32,0.211,-0.256,0.179,0.335,-0.044,0.168,0.297,0.063,0.273,0.0,0.0,0.0,-0.246,-0.504,0.797,1.238,0.335,-0.504,0.281,0.187,0.839,3.587,-1.794,1.794
4,0.288,0.194,-0.249,0.159,0.337,-0.058,0.154,0.297,0.062,0.235,-0.395,-0.395,0.156,-0.246,-0.506,0.545,1.09,0.337,-0.506,0.29,0.193,0.843,3.491,-1.746,1.746
