,SMILES,pki
68,Nc1nc(C(=O)c2cccs2)c2sccc2n1,7.63827
69,Nc1ncnc2c1ncn2Cc1ccccc1,5.07058
70,Nc1nc(-c2ccco2)c2ccn(Cc3ccccc3F)c2n1,7.79588
71,N#Cc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,7.72125
72,CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,8.37675
73,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1C2O,6.77392
74,Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1,6.45469
75,CNc1nc(C(=O)NCc2ccccn2)cc(-c2ccc(C)o2)n1,7.20066
76,Cc1ccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)o1,8.39794
77,Nc1nc2c(ncn2Cc2ccccc2Cl)c2nc(-c3ccco3)nn12,8.76955
78,OC1CSC(n2cnc3c(NCc4cccc(F)c4)ncnc32)C1O,5.89963
79,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccco4)cc3)cc2n(C)c1=O,7.73993
80,Cc1ccc(-c2[nH]c3c(=O)n(C)c(=O)n(C)c3c2O)cc1,5.61083
81,Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1,6.35655
82,CCCCNC(=O)C1CCC(c2nc3c(=O)n(CCC)c(=O)n(CCC)c3[nH]2)CC1,5.64589
83,COc1ccc(-c2cc(C(=O)NCc3ncccc3C)nc(N)n2)cc1,6.80967
84,Cc1ccc(-c2cc(C(=O)NCc3ncc[nH]3)nc(N)n2)o1,9.0
85,O=C(Nc1ccc(Br)c(-c2ccco2)n1)C1CC1,7.45593
86,CSc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,7.88606
87,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(CCC)c1=O,6.5376
88,Cc1csc(-c2nc(N)nc3c2nnn3Cc2ccccc2F)n1,8.65758
89,COc1ccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)cc1,6.81531
90,CCCn1c(=O)c2c(ncn2C)n(CCC)c1=O,5.55284
91,COCCN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.0
92,CCCn1c(=O)c2[nH]c(-c3cn[nH]c3)nc2n(CC)c1=O,6.30452
93,Cc1ccc2c([S-])c(Cc3ccccc3)cnc2n1,5.03905
94,Nc1nc(-c2ccccn2)c2cnn(Cc3ccccc3F)c2n1,7.92082
95,Nc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,6.65938
96,COc1ccc2c(c1)C[NH+](CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2,8.26761
97,CCc1nc2c([nH]1)c1nc(CC)[nH]c1c1nc(CC)[nH]c21,6.14267
98,CC(=O)Nc1cc(N2CCCC2C)nc(-n2nc(C)cc2C)n1,7.55284
99,Nc1nc(-n2ccnn2)c2cnn(Cc3ccccc3F)c2n1,7.14874
100,Nc1nc2c(cnn2CCc2cccc(-c3cccnc3)c2)c2nc(-c3ccco3)nn12,8.25964
101,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12,7.45593
102,Cc1ccccc1Cn1nnc2c(-c3ccco3)nc(N)nc21,8.52288
103,CCCCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,9.92082
104,Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.39254
105,COc1ccccc1CNC(=O)c1nc(N)nc(-c2ccco2)n1,8.18709
106,Nc1nc(C(=O)NCc2ccccn2)cc(-c2cccc(F)c2)n1,7.74473
107,Nc1ncnc2c1ncn2CCc1ccccc1,5.01773
108,CCN(CCc1ccccn1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.11919
109,CCCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,8.48149
110,COc1ccc(CCSc2cc3nc(-c4ccco4)nn3c(N)n2)cc1,8.79588
111,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCCC4)cn3n2)o1,7.24413
112,Cc1[nH]c2nc(-c3ccccc3)nc(NCc3ccncc3)c2c1C,6.09098
113,O=C(c1ccccc1)c1nc(NCc2cccnc2)nc2ccsc12,5.79075
114,COc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,8.09691
115,COc1ccc2c(c1)C[NH+](CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,8.49485
116,Cc1cn2c(N)nc(-c3ccccc3)nc2[nH+]1,6.16622
117,COc1ccc(-c2cc(-c3ccco3)nc(N)c2C#N)cc1OC,7.03621
118,CCn1c(=O)n(CC(C)C)c(=O)c2[nH]c(-c3cn[nH]c3)nc21,5.91364
