,SMILES,pki
66,CNC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.14831
67,Nc1nc(C(=O)NCc2ccccn2)cc(-c2ccccc2F)n1,7.76955
68,CN(C)c1nc(-c2cccs2)c2sccc2n1,7.25964
69,Cc1nc(-c2nc(N(C)C)nc3ccsc23)sc1C,8.18046
70,CC(C)NC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.58336
71,CC(=O)Nc1cc(N2CCCC2=O)nc(-n2nc(C)cc2C)n1,7.92082
72,CC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.39794
73,Nc1nc(C(=O)NCc2cccc(Cl)c2)cc(-c2ccco2)n1,8.4318
74,COCC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.309895
75,CCCn1c(=O)c2c(nc(C3CCCCC3)n2C)n(CCC)c1=O,7.07058
76,Nc1nc2c(cnn2CCCc2ccc3c(c2)OCO3)c2nc(-c3ccco3)nn12,8.48149
77,CC(=O)N1CCC(Nc2nc(-c3ccco3)c(C(=O)c3ccccc3)s2)CC1,6.34199
78,CCNc1nc(-c2ccco2)c2sccc2n1,7.23657
79,[NH2+]=C(NCCc1c[nH]c2ccccc12)Nc1ncccn1,5.22915
80,Nc1nc(C(=O)NCc2ccccc2F)cc(-c2ccco2)n1,8.45593
81,Cc1nc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)sc1C,6.65758
82,Cn1c(=O)c2[nH]c(-c3cccc(OCC[NH+]4CCOCC4)c3)nc2n(C)c1=O,5.85387
83,c1ccc(NC2=[NH+]C(NC3CC4CCC3C4)c3nc[nH]c3N2)cc1,5.11182
84,Cn1c(=O)ccc2c(O)cc(-c3ccccc3)nc21,5.18709
85,CCNC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.59929
86,N#Cc1c(-c2ccccc2)cc(-c2ccco2)nc1N,7.95861
87,Nc1nc(C(=O)NCc2cccc(F)c2)cc(-c2ccco2)n1,8.31876
88,CN(C)c1nc(C(=O)c2cccs2)c2sccc2n1,7.3098
89,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(N)c(F)c3)c2n1,9.1549
90,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,8.05732
91,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3N)c2n1,8.69897
92,COC(C)CNc1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,6.81248
93,O=C(c1cccnc1)c1nc(NCc2cccnc2)nc2ccsc12,5.93256
94,N#Cc1c(-c2ccco2)cc(-c2cccs2)nc1N,7.92082
95,CN(C)c1nc(-c2ccco2)c2cnn(CCc3ccccc3)c2n1,5.72331
96,CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)[O-])cc3)[nH]c2n(CCCC)c1=O,5.59517
97,Cc1cccnc1CNC(=O)c1cc(N)nc(-c2ccco2)c1,6.89963
98,Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ccc4c3)c2n1,8.95861
99,Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,6.25414
100,Cc1cccnc1CNC(=O)c1cc(-c2ccccc2F)nc(N)n1,7.85387
101,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.46852
102,CNc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,8.79588
103,COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1,6.66959
104,Cc1ccc(Nc2nc(N)nc(CSC(C)C(=O)NCc3ccccc3Cl)n2)cc1,5.22185
105,Cn1c(=O)c2c(nc3n2CCCN3CCc2c[nH]c3ccccc23)n(C)c1=O,5.34104
106,COc1cccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)c1,7.55284
107,Cc1nc(C(=O)NCc2ccccn2)cc(-c2ccc(C)o2)n1,5.95195
108,CN(C)c1nc(-c2nccn2C)c2sccc2n1,7.85387
109,CCCCc1nc2[nH]cnc2c2nc(C)nn12,7.33724
110,Nc1nc(C(=O)NCc2ccccn2)cc(-c2ccccc2)n1,7.85387
111,Cn1c(-n2nccn2)nc2c(N)nccc21,7.28735
112,Nc1cc(-n2cccn2)nc(-c2ccco2)n1,8.5376
113,CCCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.60033
114,O=C(c1ccccc1)c1sc(NCc2ccco2)nc1-c1ccco1,7.36653
115,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.735545
116,CCc1nc2c([nH]1)c1nc(C)[nH]c1c1nc(CC)[nH]c12,6.4828
117,CC(C)N(C)C(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,7.65758
118,COc1ccc(CCN(C)c2cc3nc(-c4ccco4)nn3c(N)n2)cc1,8.74473
119,CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.72125
120,N#Cc1c(-c2ccco2)cc(-c2ccccc2)nc1N,7.72125
121,CCCn1c(=O)c2[nH]c3cnccc3c2n(CCC)c1=O,5.44009
122,CCN(CC)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.52288
123,Nc1nc(-c2ccco2)c2ncn(Cc3cc4c(cc3Cl)OCO4)c2n1,8.20066
124,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3)c2n1,8.72125
125,Cn1cnc2c(NC3CCCCC3)nc(Nc3ccccc3)nc21,5.92082
126,CCc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,7.03621
127,Cn1c(-n2nccn2)nc2c(N)nc(CCc3ccccc3)nc21,8.3279
128,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)N4CCN(c5ccccc5)CC4)cc3)cc2n(C)c1=O,6.87943
129,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,6.20066
130,Nc1nc(-c2ccco2)c2sccc2n1,7.85387
