,Chi0,Chi1,Chi10,Chi2,Chi3,Chi3c,Chi3ch,Chi4,Chi4c,Chi4ch,Chi4pc,Chi5,Chi5ch,Chi6,Chi6ch,Chi7,Chi8,Chi9,Chiv0,Chiv1,Chiv10,Chiv2,Chiv3,Chiv3c,Chiv3ch,Chiv4,Chiv4c,Chiv4ch,Chiv4pc,Chiv5,Chiv5ch,Chiv6,Chiv6ch,Chiv7,Chiv8,Chiv9,dchi0,dchi1,dchi2,dchi3,dchi4,knotp,knotpv,mChi1
548,12.129,7.507,0.064,6.973,4.187,1.429,0.0,3.754,0.0,0.0,1.618,2.602,0.0,2.03,0.068,1.242,0.733,0.239,10.405,5.341,0.008,4.067,1.633,0.718,0.0,1.093,0.0,0.0,0.528,0.599,0.0,0.371,0.011,0.201,0.103,0.027,1.725,2.166,2.905,2.554,2.661,0.189,0.19,0.469
549,12.129,7.507,0.064,6.973,4.187,1.429,0.0,3.754,0.0,0.0,1.618,2.602,0.0,2.03,0.068,1.242,0.733,0.239,11.221,6.566,0.008,4.841,2.181,0.8,0.0,1.449,0.0,0.0,0.691,0.865,0.0,0.609,0.011,0.361,0.143,0.05,0.908,0.942,2.132,2.006,2.306,0.189,0.108,0.469
550,10.552,6.664,0.014,5.605,4.265,0.847,0.0,3.457,0.0,0.0,1.89,2.229,0.0,1.01,0.102,0.623,0.36,0.121,9.161,5.13,0.003,3.594,2.162,0.462,0.0,1.512,0.0,0.0,0.843,0.901,0.0,0.305,0.032,0.158,0.077,0.024,1.391,1.534,2.011,2.103,1.945,1.043,0.381,0.476
551,9.845,6.13,0.011,5.383,4.139,0.964,0.0,2.609,0.0,0.0,1.943,2.008,0.0,1.205,0.068,0.77,0.321,0.094,8.615,4.637,0.002,3.345,2.264,0.483,0.0,1.121,0.0,0.0,0.976,0.746,0.0,0.378,0.024,0.217,0.075,0.02,1.23,1.494,2.038,1.876,1.487,0.979,0.493,0.472
552,11.422,6.969,0.064,6.803,3.748,1.513,0.0,3.616,0.0,0.0,1.512,2.243,0.0,1.95,0.068,0.811,0.696,0.128,10.13,5.295,0.008,4.188,1.613,0.791,0.0,1.156,0.0,0.0,0.56,0.595,0.0,0.452,0.011,0.143,0.116,0.015,1.292,1.674,2.616,2.135,2.461,0.002,0.231,0.465
553,10.008,6.037,0.0,5.606,4.138,1.131,0.0,3.313,0.0,0.0,2.517,1.933,0.0,1.123,0.068,0.635,0.405,0.0,8.834,4.854,0.0,4.094,2.342,0.8,0.0,1.512,0.0,0.0,1.339,0.847,0.0,0.479,0.024,0.207,0.117,0.0,1.174,1.182,1.511,1.796,1.802,1.385,0.539,0.464
554,11.259,7.13,0.082,6.183,4.243,1.03,0.0,3.194,0.0,0.0,1.591,2.593,0.0,1.484,0.083,0.979,0.494,0.224,9.111,4.784,0.006,3.253,1.619,0.395,0.0,1.037,0.0,0.0,0.428,0.669,0.0,0.3,0.028,0.155,0.07,0.024,2.148,2.346,2.93,2.624,2.157,0.56,0.033,0.475
555,30.292,20.014,3.169,18.817,16.039,3.464,0.0,13.571,0.0,0.0,8.195,10.56,0.314,9.025,0.0,6.794,5.372,4.258,24.312,13.867,0.438,10.727,8.219,1.497,0.0,5.767,0.0,0.0,3.502,3.719,0.118,2.604,0.0,1.649,1.09,0.713,5.98,6.147,8.09,7.82,7.804,4.731,2.005,0.435
556,12.74,7.93,0.236,7.645,6.454,1.592,0.0,5.152,0.0,0.0,3.876,3.835,0.096,2.822,0.037,1.895,1.052,0.545,9.914,5.221,0.025,4.124,2.678,0.69,0.0,1.82,0.0,0.0,1.22,1.115,0.029,0.662,0.012,0.377,0.161,0.068,2.826,2.71,3.521,3.776,3.332,2.284,0.53,0.441
557,12.414,8.113,0.23,7.319,5.81,1.257,0.0,4.986,0.0,0.0,2.537,3.876,0.0,2.433,0.139,1.67,0.862,0.541,10.2,5.671,0.024,4.086,2.749,0.536,0.0,1.859,0.0,0.0,0.958,1.254,0.0,0.634,0.04,0.369,0.169,0.073,2.214,2.443,3.234,3.061,3.127,1.28,0.422,0.451
