,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
106,14.41,5.551,3.135,12.457,4.349,2.34,3.0097496111111113
107,9.242,3.539,1.547,7.626,2.613,1.06,1.4233384285714286
108,13.959,5.413,2.492,12.549,4.566,2.02,3.015722842105263
109,6.125,2.52,1.488,5.309,1.961,1.078,1.301368625
110,9.551,3.63,1.646,8.601,3.053,1.321,2.0199117692307693
111,4.167,1.633,0.98,3.142,0.965,0.475,0.5053383333333333
112,20.727,9.467,5.093,17.821,7.492,3.832,5.1351896923076925
113,8.0,3.111,7.2,7.87,3.009,7.075,2.96010375
114,13.959,5.413,2.276,12.302,4.423,1.767,2.863776105263158
115,10.516,4.245,1.883,8.735,3.132,1.279,1.9541442857142857
116,8.0,3.938,7.2,6.87,2.95,6.128,2.5333125
117,15.879,6.63,3.347,14.112,5.508,2.668,3.701376
118,19.934,7.922,3.353,17.039,6.222,2.494,3.786309214285715
119,5.143,2.344,1.5,4.118,1.599,0.892,0.9406688571428573
120,9.091,4.133,2.5,9.007,4.07,2.452,3.33259
121,11.077,5.024,3.324,9.379,3.799,2.366,2.7408323846153846
122,9.091,4.133,2.5,7.556,3.026,1.684,2.078586909090909
123,16.467,6.379,3.018,14.302,5.115,2.309,3.180640434782609
124,13.959,5.78,2.492,11.469,4.242,1.689,2.5606051578947366
125,17.355,8.022,4.733,15.302,6.575,3.72,4.790983333333334
126,18.05,7.852,4.765,15.966,6.376,3.707,5.0899608
127,13.432,5.325,2.56,12.311,4.613,2.14,3.3406260588235295
128,14.41,5.97,2.963,13.003,5.049,2.407,3.6473415
129,9.551,3.63,1.92,7.791,2.585,1.261,1.5492103846153849
130,14.41,5.551,2.659,12.895,4.611,2.114,3.3032691666666665
131,10.516,4.245,2.343,8.62,3.064,1.573,1.8865485714285712
132,12.457,5.558,3.03,11.019,4.576,2.384,3.1514339999999996
133,10.516,4.68,2.173,9.09,3.717,1.618,2.413395
134,10.173,4.108,1.744,8.237,2.953,1.149,1.6215907333333333
135,14.41,6.438,3.526,12.769,5.312,2.784,3.768273777777778
136,14.41,6.438,3.526,12.291,4.995,2.582,3.4107525
137,10.173,4.108,1.744,8.798,3.276,1.31,1.9214832
138,12.457,4.704,1.966,10.941,3.786,1.493,2.588914125
139,13.959,5.78,3.03,11.592,4.315,2.124,2.632604210526316
140,13.005,5.551,2.805,10.838,4.183,1.983,2.5186307777777777
141,12.457,4.704,1.966,10.622,3.6,1.4,2.3899500000000002
142,8.592,3.395,1.562,6.779,2.298,0.951,1.2981785
143,13.005,4.836,2.077,11.252,3.828,1.555,2.3929253333333333
144,22.042,12.369,7.424,19.946,10.633,6.145,8.836909083333333
145,59.309,30.011,20.707,55.886,27.392,18.638,23.551220184615385
146,23.659,10.543,5.627,20.415,8.363,4.246,5.887263620689654
147,10.0,4.0,3.702,10.01,4.008,3.71,4.012008
148,9.091,4.133,3.265,7.595,3.053,2.292,2.1079577272727272
149,13.067,4.888,3.811,11.841,4.1,3.125,3.2365399999999993
150,11.077,4.022,3.324,10.024,3.358,2.717,2.589276307692308
151,16.056,8.227,4.267,14.999,7.391,3.715,6.158756055555556
152,18.34,8.203,5.551,16.48,6.913,4.552,5.178465454545455
153,5.0,2.25,4.0,4.43,1.722,3.43,1.5256919999999998
154,12.0,5.612,6.25,10.94,4.745,5.302,4.325858333333334
155,13.067,6.554,5.04,11.236,5.143,3.806,3.852449866666667
156,14.41,6.438,3.75,12.165,4.912,2.702,3.319693333333333
157,10.173,4.108,1.744,8.237,2.953,1.149,1.6215907333333333
158,12.071,5.778,4.889,10.242,4.411,3.621,3.2269615714285713
159,25.037,13.265,8.1,23.369,11.921,7.102,10.317846259259259
160,12.457,5.558,2.831,10.583,4.289,2.047,2.8369054375
161,13.005,5.551,2.805,10.904,4.223,2.006,2.5581995555555554
162,12.071,5.778,3.592,9.627,3.972,2.261,2.731317428571429
163,16.372,7.852,4.765,13.735,5.968,3.422,4.098523999999999
164,16.056,8.227,3.996,14.999,7.391,3.471,6.158756055555556
165,14.41,6.963,3.996,12.759,5.77,3.173,4.089968333333333
166,6.694,2.56,1.12,5.16,1.663,0.641,0.858108
167,11.077,4.481,2.083,10.838,4.317,1.984,3.599049692307692
168,30.225,14.074,9.436,28.725,12.98,8.591,10.966191176470588
169,18.34,6.857,4.308,17.572,6.379,3.961,5.095081272727272
170,13.067,5.365,3.5,11.485,4.288,2.678,3.2831786666666667
171,14.41,6.438,3.996,14.312,6.369,3.945,5.064062666666667
172,17.416,7.709,3.759,15.674,6.577,3.095,4.295329083333333
173,13.432,5.325,2.56,11.64,4.201,1.904,2.876449411764706
174,12.071,5.778,4.388,10.044,4.268,3.09,3.061985142857143
175,11.484,4.473,1.969,9.58,3.309,1.342,2.1133480000000002
176,9.551,3.293,1.333,7.781,2.317,0.851,1.3868136153846156
177,24.271,12.0,6.016,21.945,10.264,4.938,8.04441
178,19.753,9.274,5.042,17.521,7.722,4.032,5.411886480000001
179,15.523,6.857,3.299,13.611,5.63,2.59,3.4831786363636366
180,8.592,4.297,2.25,7.743,3.675,1.843,2.37129375
181,12.457,5.558,2.831,10.67,4.346,2.081,2.89823875
182,13.959,5.78,2.492,11.658,4.354,1.745,2.6715227368421055
183,15.39,7.136,4.231,13.833,6.035,3.454,4.3937976315789475
184,12.055,4.592,1.96,9.902,3.351,1.322,1.9518589411764704
185,20.878,8.501,3.552,17.971,6.756,2.675,4.186623310344827
186,10.516,4.245,2.02,8.812,3.178,1.404,2.000324
187,10.083,4.297,2.493,8.585,3.258,1.765,2.3308275000000003
188,13.648,5.025,2.037,11.796,3.996,1.536,2.3568407999999996
189,18.367,7.197,3.022,15.006,5.233,2.038,3.14105592
190,13.648,4.263,1.695,13.044,3.96,1.55,2.582712
191,11.077,5.024,3.324,9.25,3.709,2.297,2.639096153846154
192,25.641,12.497,6.865,22.414,10.263,5.418,6.765731823529412
193,17.053,9.031,8.0,15.467,7.759,6.785,6.3162343684210525
194,14.062,5.104,3.495,12.509,4.13,2.735,3.228885625
195,12.071,5.778,4.388,10.978,4.95,3.671,3.8815071428571426
196,13.959,5.78,2.741,11.592,4.315,1.909,2.632604210526316
197,13.0,8.592,12.0,11.94,7.582,10.94,6.963775384615384
198,15.39,6.635,3.556,14.616,6.108,3.211,4.698659368421052
199,21.302,8.347,4.466,18.498,6.577,3.349,4.86645384
200,12.457,4.704,2.831,10.603,3.589,2.054,2.3783854375
201,21.703,7.68,4.951,19.607,6.476,4.077,4.702775259259259
202,21.302,10.364,7.637,18.991,8.667,6.229,6.58379988
203,7.111,3.24,2.0,5.82,2.307,1.288,1.49186
204,7.111,3.24,2.0,5.82,2.307,1.288,1.49186
205,16.844,6.857,3.165,15.311,5.894,2.625,4.101956090909091
206,12.535,4.75,1.821,10.219,3.487,1.244,1.78168265
207,10.083,4.889,3.114,8.585,3.759,2.25,2.6892512500000003
208,15.879,6.63,3.2,14.074,5.484,2.532,3.6753245714285714
209,20.727,8.163,5.093,19.179,7.2,4.404,5.311107692307692
210,12.457,6.667,4.077,10.429,5.121,2.948,3.3379318125000004
211,19.326,10.78,6.428,16.745,8.733,4.953,6.358003695652175
212,18.781,6.957,4.233,17.182,6.012,3.574,4.304090999999999
213,11.111,4.349,1.861,9.029,3.131,1.234,1.7668624375
214,14.583,6.246,2.812,11.916,4.599,1.925,2.609604
215,21.825,8.741,3.57,18.721,6.896,2.665,4.303333866666667
216,17.416,8.59,4.233,14.462,6.549,3.024,3.9463182500000005
217,21.703,10.684,6.5,18.325,8.273,4.789,5.614915740740741
218,18.05,9.107,5.379,16.783,8.114,4.662,6.808863100000001
219,20.727,9.467,5.75,19.209,8.42,5.006,6.220760769230769
220,9.551,3.63,1.646,8.965,3.27,1.442,2.2550423076923076
221,14.062,8.144,5.778,12.519,6.847,4.691,5.3573495625000005
222,21.302,9.796,6.282,18.754,7.997,4.945,5.999029520000001
