,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
416,10.516,4.245,2.173,8.496,2.991,1.407,1.8151097142857144
417,12.457,5.104,2.651,10.912,4.112,2.032,2.804384
418,53.813,21.198,10.13,51.923,20.05,9.478,15.087770289855074
419,19.753,8.347,5.258,17.405,6.831,4.163,4.755742200000001
420,14.0,11.077,13.091,13.47,10.55,12.566,10.150607142857144
421,15.39,6.185,3.986,13.129,4.753,2.928,3.2843229999999997
422,28.994,14.404,8.758,25.987,12.239,7.221,8.834858138888888
423,21.825,9.868,4.446,18.252,7.56,3.199,4.599504
424,19.753,9.796,5.49,17.84,8.413,4.559,6.0035168
425,24.639,10.745,5.88,21.498,8.656,4.533,6.202889600000001
426,20.28,9.212,4.452,18.053,7.73,3.587,5.168507037037038
427,19.326,10.096,5.786,16.922,8.261,4.512,6.077940956521739
428,14.583,5.894,2.222,13.09,4.994,1.802,3.1129266666666666
429,9.551,4.022,2.083,7.981,3.012,1.448,1.8491363076923075
430,14.41,6.438,3.526,12.174,4.918,2.533,3.3262073333333335
431,18.05,10.688,7.556,16.305,9.201,6.316,7.501115250000001
432,13.0,6.453,4.152,12.76,6.25,3.988,6.134615384615385
433,9.551,3.63,1.646,7.924,2.66,1.109,1.621372307692308
434,12.457,4.704,1.966,10.67,3.628,1.414,2.4194225
435,15.27,6.379,2.806,13.941,5.57,2.376,3.376146521739131
436,12.071,4.245,3.273,11.017,3.594,2.713,2.828221285714285
437,5.625,1.778,0.778,5.485,1.707,0.74,0.9362895000000002
438,15.059,8.163,5.928,13.116,6.593,4.604,5.086693411764706
439,27.585,12.808,8.0,23.12,9.72,5.782,6.809890909090909
440,11.111,4.349,1.861,9.029,3.131,1.234,1.7668624375
441,17.355,7.513,4.488,16.283,6.78,3.969,5.257082857142858
442,16.372,5.325,2.845,15.802,5.005,2.643,3.9544505
443,15.879,7.051,3.673,13.319,5.372,2.633,3.4071270476190474
444,18.367,7.553,3.337,16.363,6.316,2.676,4.133948319999999
445,20.28,6.5,2.593,19.035,5.85,2.281,4.12425
446,13.432,4.281,2.56,12.535,3.792,2.221,2.796042352941176
447,18.781,6.957,3.618,16.757,5.768,2.892,4.027265666666667
448,10.083,4.297,2.25,8.665,3.311,1.612,2.3908179166666663
449,13.432,5.76,3.062,11.455,4.454,2.228,3.00121
450,19.753,9.274,5.49,18.558,8.434,4.901,6.26072688
451,12.457,5.558,2.831,10.12,3.989,1.869,2.5230425
452,11.484,4.888,2.571,9.821,3.799,1.879,2.487331933333333
453,13.648,5.653,2.493,11.916,4.599,1.933,2.7400842
454,14.41,6.438,3.526,14.019,6.164,3.343,4.800728666666667
455,26.602,13.185,6.372,23.482,10.914,5.021,8.008829624999999
456,14.41,7.556,4.898,13.334,6.731,4.265,4.986175222222222
457,17.811,6.064,2.806,16.419,5.29,2.379,3.77637
458,10.516,4.68,2.173,8.936,3.617,1.562,2.3086794285714283
459,12.0,5.612,5.325,10.54,4.425,4.129,3.886624999999999
460,12.071,5.778,3.273,10.769,4.796,2.587,3.6891517142857144
461,18.05,9.85,7.026,16.175,8.323,5.759,6.731226250000001
462,16.0,9.074,7.058,14.76,7.976,6.07,7.35786
463,12.055,4.938,2.172,9.837,3.589,1.455,2.076764294117647
464,12.457,6.074,3.495,10.235,4.486,2.405,2.869638125
465,20.28,9.212,4.302,17.805,7.57,3.372,4.991994444444445
466,17.416,7.319,3.241,15.702,6.245,2.664,4.08579125
467,13.432,6.25,3.729,11.649,5.0,2.843,3.426176470588235
468,19.322,7.438,3.338,17.026,6.088,2.614,3.9867033846153843
469,18.34,7.713,5.551,17.218,6.959,4.94,5.446366454545454
470,13.432,5.325,2.56,11.319,4.009,1.796,2.669286529411765
471,26.074,13.347,7.492,23.39,11.387,6.178,8.070967575757576
472,13.648,5.325,2.391,11.401,4.03,1.701,2.2973015
473,18.34,10.714,7.422,15.655,8.533,5.664,6.072005227272727
474,17.355,7.513,4.488,15.086,5.987,3.419,4.300946761904762
475,21.302,9.274,4.466,18.183,7.163,3.232,5.20979316
476,17.811,7.92,3.819,14.773,5.921,2.661,3.803084043478261
477,16.372,6.84,4.496,13.852,5.199,3.267,3.6008274
478,18.34,6.136,3.592,15.733,4.681,2.619,3.3475533181818182
479,17.355,7.513,5.606,14.792,5.796,4.18,4.082592
480,26.254,12.296,6.998,23.083,10.017,5.455,7.707413699999999
481,7.111,3.24,2.0,6.549,2.824,1.677,2.0549306666666665
482,24.271,10.858,5.796,21.144,8.686,4.408,6.559170857142857
483,15.879,7.051,3.673,12.986,5.163,2.508,3.192700857142858
484,22.291,9.972,5.093,19.169,7.814,3.765,5.761021769230769
485,13.067,5.365,3.5,10.57,3.698,2.241,2.6058573333333332
486,18.34,8.203,5.263,16.018,6.602,4.076,4.8068561818181825
487,15.523,5.25,2.111,14.518,4.712,1.85,3.1094916363636362
488,14.917,6.406,3.277,12.815,5.056,2.454,3.2396319999999994
489,21.825,8.741,3.479,18.871,6.983,2.634,4.392539766666666
490,18.34,9.333,5.864,15.498,7.214,4.302,5.081935090909091
491,19.753,6.866,3.984,16.931,5.296,2.945,3.5866630400000004
492,13.005,5.97,3.135,11.252,4.796,2.396,2.998032888888889
493,13.005,5.97,3.135,10.519,4.325,2.11,2.5274819444444443
494,19.322,7.438,3.338,16.837,5.98,2.558,3.87251
495,15.523,6.481,3.165,13.788,5.409,2.541,3.389967818181818
496,18.781,8.131,4.066,16.448,6.604,3.15,4.525941333333333
497,31.002,10.533,4.293,29.863,9.914,3.989,7.221019073170732
498,16.372,7.32,4.25,14.743,6.194,3.473,4.5659070999999996
499,22.042,12.369,6.682,20.654,11.214,5.889,9.6505815
500,30.225,14.074,9.77,27.544,12.134,8.24,9.829967529411766
501,11.484,5.915,3.5,10.506,5.178,2.968,3.6266711999999997
502,13.432,6.25,3.263,11.203,4.699,2.281,3.096641
503,20.045,11.523,7.422,18.299,10.056,6.279,8.364306545454545
504,18.781,8.59,4.066,16.052,6.743,3.005,4.509943166666667
505,7.639,2.803,1.322,5.899,1.815,0.759,0.9733350000000001
506,9.091,3.6,2.215,7.398,2.494,1.403,1.6773283636363636
507,6.125,2.52,1.8,4.967,1.738,1.141,1.07908075
508,21.0,18.05,17.95,20.43,17.481,17.379,17.006515714285715
509,14.0,6.478,4.889,13.35,5.951,4.429,5.674703571428571
510,6.125,2.52,1.8,5.447,2.053,1.402,1.397836375
511,9.551,3.293,1.427,7.781,2.317,0.915,1.3868136153846156
512,10.083,3.395,1.701,8.803,2.638,1.241,1.9351928333333335
513,18.781,7.319,3.759,16.631,6.01,2.965,4.164679583333333
514,16.372,6.84,3.442,14.234,5.439,2.593,3.8709363000000003
515,20.28,9.667,4.951,19.093,8.842,4.438,6.252603925925927
516,29.089,10.617,4.383,27.792,9.878,4.015,7.039214769230769
517,11.077,5.672,4.152,9.577,4.5,3.151,3.3151153846153845
518,9.242,3.868,1.76,7.444,2.771,1.159,1.4733802857142855
519,12.055,4.938,2.062,9.968,3.665,1.414,2.1489835294117645
520,13.432,5.325,2.291,11.319,4.009,1.595,2.669286529411765
521,17.416,6.957,3.021,14.33,5.131,2.077,3.0636345833333336
522,11.077,6.453,5.333,9.577,5.191,4.155,3.824169769230769
523,10.083,5.612,4.592,8.784,4.544,3.606,3.326208
524,11.077,5.672,4.688,9.051,4.103,3.238,2.8566348461538458
525,17.811,8.393,3.819,15.282,6.649,2.843,4.417826869565217
526,16.372,7.32,4.496,13.735,5.523,3.213,3.7929202499999994
527,21.703,9.667,5.758,18.548,7.558,4.3,5.192066074074074
528,12.457,5.558,3.03,10.941,4.525,2.351,3.0942515625000007
529,14.352,3.499,1.188,13.277,3.07,1.016,1.8527449999999996
530,16.056,7.556,6.144,13.973,6.01,4.759,4.665429444444445
531,8.1,3.408,2.286,7.052,2.682,1.709,1.8913463999999998
532,22.203,10.08,5.258,19.456,8.25,4.123,5.534896551724138
533,19.753,8.347,4.838,17.25,6.734,3.749,4.64646
534,21.825,8.741,3.57,18.871,6.983,2.706,4.392539766666666
535,24.135,9.331,4.8,20.597,7.232,3.543,4.805080774193549
536,15.879,5.894,3.062,13.825,4.702,2.335,3.095483333333333
537,11.111,4.704,2.08,8.844,3.303,1.334,1.8257332499999999
538,15.879,7.051,3.505,12.995,5.169,2.387,3.1986264285714276
539,17.053,9.031,8.0,15.467,7.759,6.785,6.3162343684210525
540,19.322,6.25,2.486,18.081,5.6,2.175,3.8943692307692306
541,22.203,7.549,3.277,20.481,6.607,2.79,4.6661367931034485
542,19.322,6.25,2.486,17.805,5.458,2.109,3.737680384615385
543,12.457,5.104,2.08,10.67,3.963,1.501,2.642825625
544,17.053,7.695,4.5,15.657,6.676,3.779,5.501375368421053
545,31.219,10.285,7.993,29.967,9.559,7.381,8.1844158
546,18.367,8.347,4.296,17.226,7.583,3.822,5.22499032
547,22.042,12.369,8.297,19.676,10.413,6.742,8.5369245
548,14.062,6.667,5.264,12.479,5.482,4.218,4.2756173749999995
549,14.062,6.667,5.264,13.027,5.885,4.573,4.7914934375
550,12.071,5.778,3.273,11.057,5.009,2.734,3.956036642857143
551,11.077,5.024,3.324,10.351,4.49,2.901,3.575076153846154
552,13.067,5.915,5.04,11.972,5.114,4.291,4.081653866666667
553,11.077,4.481,2.479,10.103,3.819,2.029,2.9679505384615386
554,13.067,6.554,4.571,11.365,5.24,3.497,3.9701733333333338
555,33.366,14.187,7.062,28.545,11.123,5.265,7.5596675
556,13.432,4.938,2.291,11.591,3.846,1.679,2.622293294117647
557,13.432,5.76,3.062,11.669,4.591,2.313,3.1513164117647063
558,10.083,3.806,1.562,8.972,3.089,1.187,2.3095423333333334
559,20.28,10.156,5.136,18.501,8.886,4.353,6.088884666666667
560,21.24,9.428,4.542,18.758,7.801,3.6,5.226112785714285
561,27.81,10.32,3.926,24.795,8.639,3.158,5.4924103846153844
562,19.753,10.364,6.0,17.434,8.632,4.8,6.01961152
563,11.484,4.108,2.982,10.033,3.265,2.296,2.1838496666666667
564,21.825,9.469,4.578,19.425,7.946,3.7,5.145034999999999
565,25.641,11.588,5.957,22.623,9.602,4.747,6.389001352941177
566,16.372,8.444,5.058,14.498,7.028,4.042,5.0945972
567,16.844,6.857,3.753,14.534,5.421,2.833,3.5813097272727275
568,14.917,6.84,3.621,13.281,5.733,2.918,3.8069986499999997
569,12.071,5.186,3.273,9.964,3.727,2.193,2.652559142857143
570,16.844,7.713,4.308,13.892,5.737,3.013,3.622654727272727
571,12.071,4.245,2.994,10.777,3.451,2.358,2.6565304999999997
572,8.1,3.408,1.991,6.608,2.39,1.271,1.579312
573,16.844,6.481,2.811,14.658,5.175,2.127,3.4479613636363635
574,12.457,5.104,2.651,10.845,4.07,2.006,2.7586968750000005
575,14.062,7.35,4.817,13.226,6.68,4.289,5.521855
576,16.909,6.805,2.865,14.701,5.527,2.224,3.1250933461538466
577,15.39,6.185,3.191,14.87,5.847,2.978,4.576046842105264
578,26.074,10.948,5.404,23.4,9.239,4.398,6.551290909090909
579,26.601,11.007,5.178,22.633,8.568,3.82,5.540558399999999
580,13.432,5.76,3.729,11.339,4.38,2.698,2.9214599999999997
581,32.213,16.184,11.741,28.974,13.729,9.731,11.049556833333334
582,22.203,10.08,5.087,19.581,8.331,4.03,5.625148655172413
583,20.878,7.0,2.958,19.839,6.448,2.679,4.411099034482758
584,10.173,4.108,1.744,8.605,3.164,1.253,1.8150813333333333
585,12.457,5.104,2.651,11.096,4.227,2.102,2.9314245000000003
586,20.878,6.748,2.62,19.707,6.144,2.338,4.1751657931034485
587,19.326,8.909,6.428,16.903,7.201,5.039,5.292108826086956
588,15.39,6.635,4.231,13.1,5.111,3.108,3.5239
589,12.071,4.68,3.592,10.52,3.667,2.723,2.7554885714285713
590,17.355,7.513,4.733,14.851,5.834,3.51,4.125749238095238
591,12.071,4.68,3.592,10.322,3.543,2.617,2.6122032857142856
592,14.41,5.97,3.996,12.311,4.613,2.961,3.1550357222222223
593,15.39,6.635,4.231,13.09,5.105,3.104,3.5170763157894736
594,13.432,5.325,3.484,11.805,4.302,2.714,2.9873594117647055
595,13.432,5.325,3.484,11.465,4.096,2.563,2.762390588235294
596,9.091,3.164,2.5,8.031,2.519,1.924,1.8390990000000003
597,16.844,7.266,4.11,14.151,5.531,2.966,3.557690045454545
598,13.432,5.76,3.729,11.407,4.423,2.729,2.967833
599,15.879,6.63,3.855,13.319,5.024,2.772,3.186412190476191
600,12.457,5.104,3.25,10.903,4.106,2.515,2.797982375
601,22.203,10.543,5.087,19.083,8.407,3.841,5.532095896551724
602,14.41,5.551,3.322,12.437,4.338,2.48,2.9973170000000002
603,14.917,6.406,3.122,12.805,5.05,2.329,3.2332625
604,19.326,8.393,4.989,17.71,7.287,4.213,5.61099
605,16.372,6.84,4.496,15.027,5.948,3.822,4.4690297999999995
606,14.41,6.438,3.526,12.515,5.143,2.676,3.5758136111111107
607,26.602,12.63,6.372,22.993,10.085,4.821,7.2463876562500005
608,18.781,8.59,5.25,17.114,7.448,4.436,5.311044666666667
609,13.067,4.888,3.226,11.902,4.138,2.65,3.2833650666666667
610,10.516,4.245,2.173,9.138,3.375,1.635,2.2029107142857143
611,19.322,8.163,3.938,17.207,6.829,3.168,4.51948473076923
612,23.281,10.684,7.078,22.815,10.348,6.819,8.744060000000001
613,33.161,13.613,5.879,29.751,11.56,4.821,7.476555652173914
614,21.24,9.428,4.542,18.549,7.667,3.524,5.079113678571429
615,27.562,12.453,6.782,25.296,10.945,5.813,7.690686666666666
616,28.019,12.698,7.105,25.627,11.074,6.033,8.1083828
617,14.583,4.747,1.926,13.994,4.44,1.776,2.958731428571429
618,21.0,8.585,9.586,21.26,8.778,9.796,8.886680000000002
619,13.959,5.413,2.38,11.583,4.012,1.64,2.4458418947368417
620,9.242,3.868,1.76,7.699,2.92,1.238,1.6057914285714285
621,6.509,1.837,0.878,6.984,2.063,1.011,1.3098174545454546
622,12.0,5.612,5.325,12.48,6.014,5.73,6.254560000000001
623,14.41,6.438,3.526,12.515,5.143,2.676,3.5758136111111107
624,12.055,5.325,2.713,11.271,4.808,2.391,3.187704
625,14.062,5.558,3.769,12.629,4.602,3.023,3.632416125
626,17.355,8.022,5.606,15.783,6.907,4.714,5.191103857142857
627,16.056,7.556,5.68,14.501,6.393,4.692,5.150271833333333
628,16.844,7.713,4.308,14.543,6.159,3.283,4.071378954545454
629,18.34,8.741,4.11,16.264,7.244,3.233,5.355291636363636
630,11.484,4.888,2.24,9.888,3.842,1.646,2.5326464
631,15.0,8.187,10.286,13.41,6.804,8.732,6.082776
632,13.959,5.78,2.88,11.149,4.055,1.864,2.3794313157894735
633,16.372,5.325,3.277,16.087,5.164,3.162,4.1536634
634,13.432,5.76,3.484,12.369,5.046,2.973,3.671410235294118
635,21.24,9.013,5.024,19.609,7.968,4.341,5.580161142857143
636,8.1,3.408,2.286,6.736,2.473,1.546,1.6658127999999999
637,17.355,8.022,4.26,14.704,6.167,3.073,4.318074666666667
638,12.055,4.281,1.96,10.145,3.231,1.388,1.9281467647058823
639,17.355,9.209,5.0,15.194,7.547,3.89,5.460434190476191
640,14.583,5.894,2.699,12.895,4.879,2.141,2.9959383333333327
641,8.1,4.0,2.651,7.091,3.225,2.03,2.2868475
642,19.048,7.051,5.0,16.793,5.621,3.861,4.494926333333334
643,22.68,10.858,5.796,20.006,8.966,4.583,6.406207
644,23.659,11.039,5.627,20.981,9.172,4.475,6.635783862068967
645,13.959,6.635,3.366,13.138,6.062,3.008,4.19171347368421
646,18.056,6.25,2.294,16.333,5.333,1.887,3.350149576923077
647,11.484,5.365,2.982,10.554,4.707,2.535,3.3118452
648,16.467,7.486,3.52,13.788,5.741,2.534,3.441604695652174
649,14.917,6.84,3.277,12.34,5.12,2.282,3.15904
650,15.39,7.136,4.231,13.003,5.469,3.064,3.742810894736843
651,10.516,3.868,2.534,9.167,3.071,1.937,2.0108469285714285
652,21.24,6.498,2.395,19.925,5.833,2.1,4.150804464285715
653,22.203,7.549,3.277,20.731,6.741,2.858,4.818885206896551
654,22.203,7.549,3.277,20.453,6.592,2.782,4.64917848275862
655,17.416,5.75,2.198,15.156,4.578,1.662,2.891007
656,18.367,6.27,2.588,17.416,5.75,2.329,4.00568
657,19.322,6.25,2.486,18.329,5.728,2.236,4.038019692307692
658,19.322,6.25,2.486,18.081,5.6,2.175,3.8943692307692306
659,14.583,5.0,2.066,13.592,4.467,1.801,2.8912125714285715
660,13.648,4.75,1.961,12.7,4.237,1.705,2.690495
661,9.091,3.6,1.975,8.367,3.113,1.643,2.3678610000000004
662,33.884,14.632,6.437,30.083,12.203,5.148,8.343246568181817
663,15.879,7.513,4.26,13.491,5.872,3.16,3.772340571428571
664,8.1,2.939,1.383,7.902,2.811,1.306,2.2212522
665,12.0,5.612,3.516,11.76,5.413,3.36,5.30474
666,13.432,5.325,2.713,11.96,4.397,2.141,3.093418823529412
667,12.055,5.325,2.56,10.052,4.032,1.809,2.384097882352941
668,5.76,2.32,0.997,4.558,1.585,0.598,0.8027144444444444
669,6.125,2.52,1.488,4.967,1.738,0.92,1.07908075
670,20.314,8.59,5.25,20.699,8.855,5.442,7.637068541666668
671,20.878,7.0,2.958,19.839,6.448,2.679,4.411099034482758
672,22.203,7.549,3.277,20.481,6.607,2.79,4.6661367931034485
673,19.322,6.805,2.704,18.053,6.096,2.362,4.232734153846154
674,19.322,6.25,2.486,17.805,5.458,2.109,3.737680384615385
675,13.648,4.75,1.961,12.432,4.095,1.636,2.545452
676,23.168,7.797,3.392,21.442,6.857,2.905,4.900926466666666
677,14.583,4.747,1.926,14.237,4.566,1.837,3.0955305714285712
678,14.583,4.747,1.926,14.237,4.566,1.837,3.0955305714285712
679,14.583,4.747,1.926,13.994,4.44,1.776,2.958731428571429
680,14.917,5.653,2.493,14.064,5.142,2.218,3.6158544
681,13.432,5.325,2.56,11.922,4.373,2.002,3.0667591764705886
682,17.811,6.719,3.383,15.86,5.56,2.692,3.833982608695652
683,13.432,5.325,2.713,12.739,4.882,2.437,3.6583410588235292
684,6.125,2.52,1.488,4.898,1.694,0.89,1.0371515
685,19.326,8.393,5.235,18.991,8.16,5.064,6.73767652173913
686,7.0,4.167,2.667,6.4,3.585,2.141,3.277714285714286
687,14.41,6.963,4.566,12.301,5.449,3.414,3.7237860555555553
688,20.28,7.356,3.336,18.892,6.562,2.905,4.591455703703704
689,18.05,8.444,5.379,16.644,7.393,4.585,6.1524545999999996
690,14.917,5.325,2.294,13.243,4.38,1.804,2.900217
691,15.523,5.25,2.111,14.153,4.522,1.759,2.9090848181818183
692,16.467,5.5,2.289,15.599,5.037,2.057,3.4161810000000004
693,18.367,6.558,2.836,17.302,5.957,2.523,4.122720559999999
694,13.648,5.325,2.118,11.484,4.076,1.518,2.3404391999999996
695,13.432,5.325,2.42,11.513,4.125,1.753,2.793595588235294
696,15.523,4.762,1.977,14.931,4.466,1.83,3.0309929999999996
697,14.583,4.747,1.926,13.994,4.44,1.776,2.958731428571429
698,17.811,7.486,3.665,16.313,6.519,3.092,4.623671608695652
699,13.959,5.413,2.276,12.235,4.384,1.748,2.8230652631578947
700,20.727,9.0,4.716,18.461,7.502,3.781,5.326708538461538
701,13.432,5.325,2.56,11.99,4.414,2.026,3.1131682352941175
702,13.432,5.325,2.713,12.496,4.728,2.343,3.4753581176470587
703,10.083,3.806,1.86,9.845,3.649,1.762,2.9937004166666665
704,26.602,12.63,8.033,22.142,9.507,5.757,6.578249812499999
705,6.694,2.56,1.241,5.289,1.734,0.756,0.9171126
706,12.071,5.186,3.592,10.332,3.972,2.623,2.9313360000000004
707,11.484,5.915,3.811,9.397,4.371,2.64,2.7382858000000003
708,7.111,3.92,2.38,6.302,3.254,1.859,2.2785231111111113
709,9.551,4.481,2.083,8.324,3.623,1.579,2.3198347692307695
710,10.516,4.245,2.173,8.879,3.218,1.541,2.0409015714285714
711,7.639,2.803,1.451,6.488,2.134,1.032,1.258672
712,10.083,4.297,2.778,8.189,2.997,1.792,2.04520275
713,7.0,2.344,6.0,6.91,2.277,5.91,2.247724285714286
714,5.0,2.25,4.0,4.4,1.694,3.4,1.49072
715,14.583,4.747,1.926,13.723,4.301,1.708,2.8106010952380953
716,11.484,5.365,2.765,9.522,4.003,1.908,2.5411044
717,17.416,6.021,2.481,16.505,5.52,2.232,3.7961499999999995
718,23.659,10.543,4.924,20.513,8.426,3.722,5.96008751724138
719,13.432,5.325,2.56,11.99,4.414,2.026,3.1131682352941175
720,20.878,6.748,2.62,19.707,6.144,2.338,4.1751657931034485
721,16.372,6.84,4.25,15.164,6.038,3.668,4.5780116
722,9.242,3.539,1.648,7.381,2.48,1.062,1.3074914285714285
723,23.728,7.029,2.718,22.319,6.344,2.403,4.42474175
724,15.523,5.25,2.111,14.518,4.712,1.85,3.1094916363636362
725,15.523,5.25,2.111,14.518,4.712,1.85,3.1094916363636362
726,17.416,5.497,2.198,16.505,5.03,1.974,3.4591729166666667
727,13.959,5.413,2.276,12.302,4.423,1.767,2.863776105263158
728,18.781,6.957,3.36,16.786,5.784,2.687,4.045426
729,12.0,5.612,3.516,11.76,5.413,3.36,5.30474
730,13.432,5.325,2.56,11.99,4.414,2.026,3.1131682352941175
731,16.372,6.012,3.442,14.753,5.035,2.79,3.7140677500000003
732,9.091,3.164,2.5,8.229,2.636,2.028,1.9719676363636365
733,9.091,4.133,2.5,7.793,3.191,1.802,2.2606784545454546
734,6.0,5.0,5.333,5.96,4.96,5.298,4.926933333333333
735,21.24,7.017,2.926,19.849,6.272,2.554,4.446176
736,16.467,5.772,2.289,15.09,5.016,1.926,3.2909321739130433
737,13.959,5.78,2.612,11.658,4.354,1.834,2.6715227368421055
738,13.005,4.836,1.983,10.529,3.434,1.294,2.0086992222222224
739,16.372,7.852,4.25,15.41,7.15,3.784,5.509075
740,10.516,3.868,1.883,9.561,3.298,1.547,2.2522984285714287
741,13.005,5.175,2.284,11.328,4.159,1.741,2.617397333333333
742,14.41,5.175,2.963,13.129,4.416,2.455,3.2209813333333335
743,8.1,3.408,2.286,7.091,2.709,1.729,1.9209519
744,14.917,7.852,4.765,12.302,5.934,3.398,3.6500034
745,7.0,1.852,2.667,7.34,2.072,2.971,2.17264
746,22.776,6.78,2.606,21.436,6.129,2.308,4.23810464516129
747,17.416,5.039,1.961,16.714,4.702,1.803,3.2745511666666665
748,17.122,4.695,1.646,15.584,4.015,1.363,2.5027904
749,5.625,1.778,0.615,5.173,1.553,0.517,0.8033669
750,11.077,3.63,2.083,10.391,3.224,1.804,2.5769680000000004
751,11.0,5.625,4.444,11.11,5.721,4.534,5.7782100000000005
752,29.0,18.744,14.605,29.11,18.845,14.697,18.916481034482757
753,11.0,4.793,6.4,10.44,4.345,5.864,4.123799999999999
754,17.355,6.246,3.347,17.316,6.222,3.332,5.130483428571428
755,13.432,5.325,3.062,11.523,4.131,2.255,2.8000890000000003
756,13.432,5.325,3.062,12.428,4.686,2.626,3.425741647058824
757,13.432,5.325,3.062,11.475,4.102,2.236,2.76885
758,12.071,4.68,2.75,10.65,3.749,2.099,2.8519178571428574
759,13.432,5.76,3.729,12.583,5.188,3.296,3.8400355294117645
760,14.41,5.97,3.996,12.593,4.79,3.094,3.3511372222222224
761,10.083,3.806,2.493,9.111,3.177,2.009,2.4121372500000002
762,22.203,7.848,3.457,20.741,7.022,3.021,5.0221828275862075
763,13.959,5.08,2.086,11.281,3.585,1.351,2.1285465789473683
764,11.796,4.529,1.738,9.603,3.297,1.169,1.7589495
765,14.917,5.653,2.391,12.103,4.026,1.568,2.4363339
766,13.005,4.836,1.983,10.716,3.535,1.342,2.104503333333333
767,13.005,5.175,2.077,10.716,3.806,1.409,2.2658386666666663
768,12.055,4.592,1.96,9.958,3.381,1.337,1.9804704705882352
769,12.071,4.245,2.02,12.141,4.289,2.047,3.7194820714285712
770,9.242,3.25,1.222,7.444,2.291,0.786,1.2181574285714285
771,14.583,5.894,2.491,11.971,4.348,1.708,2.478567047619048
772,6.694,2.56,1.12,5.538,1.873,0.748,1.0372674
773,8.1,3.408,1.75,7.576,3.039,1.509,2.3023464000000002
774,20.28,6.5,2.593,19.035,5.85,2.281,4.12425
775,13.959,5.78,2.276,11.649,4.348,1.582,2.665781684210526
776,11.111,4.349,1.765,9.039,3.136,1.168,1.771644
777,37.747,16.774,7.728,33.412,13.932,6.153,9.697833000000001
778,13.005,5.175,2.177,10.904,3.913,1.534,2.3704084444444447
779,18.781,9.63,5.497,15.494,7.242,3.883,4.6753145
780,14.062,7.35,4.077,12.231,5.901,3.076,4.5109456875
781,18.05,9.107,6.549,16.215,7.677,5.367,6.224127749999999
782,9.242,3.868,1.648,7.508,2.808,1.099,1.5058902857142855
783,15.39,7.136,4.231,12.827,5.351,2.983,3.6124882631578945
784,13.959,6.635,3.366,11.413,4.9,2.308,2.9433526315789478
785,10.083,4.889,2.493,8.585,3.759,1.765,2.6892512500000003
786,16.372,8.444,4.25,14.126,6.754,3.195,4.770350199999999
787,10.516,4.245,2.02,8.936,3.253,1.446,2.0763434285714286
788,8.32,3.293,1.333,6.723,2.362,0.872,1.2215173846153846
789,10.516,4.68,2.534,8.754,3.499,1.767,2.1878747142857145
790,12.457,4.349,2.651,10.719,3.36,1.959,2.25099
791,12.457,6.074,3.495,10.235,4.486,2.405,2.869638125
792,10.083,4.889,2.778,8.585,3.759,1.985,2.6892512500000003
793,12.457,5.104,2.831,10.825,4.058,2.142,2.7454906249999995
794,14.41,6.438,3.75,12.165,4.912,2.702,3.319693333333333
795,9.551,4.022,2.083,8.324,3.226,1.579,2.0656326153846156
796,7.111,2.722,1.469,6.43,2.275,1.163,1.625361111111111
797,7.111,2.722,1.469,7.2,2.782,1.511,2.2256
798,9.091,3.164,2.215,8.12,2.572,1.732,1.898603636363636
799,8.1,3.408,1.991,6.608,2.39,1.271,1.579312
800,8.1,3.408,1.991,6.736,2.473,1.328,1.6658127999999999
801,8.1,3.408,1.991,7.022,2.663,1.458,1.8699586
802,9.091,3.6,2.215,7.526,2.574,1.46,1.761084
803,10.083,3.806,2.25,9.577,3.474,2.013,2.7725415000000004
804,9.091,4.133,2.215,8.12,3.422,1.732,2.5260581818181818
805,9.091,3.6,2.215,8.12,2.952,1.732,2.179112727272727
806,12.055,5.76,2.88,9.912,4.3,1.997,2.5071529411764706
807,10.083,3.806,1.86,9.398,3.359,1.586,2.630656833333333
808,16.372,7.32,4.25,14.126,5.781,3.195,4.083120299999999
809,10.516,5.186,2.75,8.63,3.833,1.876,2.362770714285715
810,6.694,2.939,1.383,6.694,2.939,1.383,1.9673666
811,6.694,2.939,1.383,5.418,2.103,0.895,1.1394054
812,9.091,4.133,2.215,7.526,3.005,1.46,2.0559663636363634
813,13.432,5.76,2.88,11.708,4.616,2.182,3.179066352941176
814,7.639,2.803,1.21,6.095,1.919,0.741,1.0633004545454545
815,7.639,3.164,1.6,6.226,2.274,1.049,1.287084
816,7.639,3.164,1.6,6.347,2.347,1.093,1.354219
817,9.091,4.793,2.5,8.12,4.016,1.97,2.9645381818181815
818,10.516,4.68,2.75,8.429,3.292,1.79,1.9820191428571428
819,16.372,8.444,5.058,13.803,6.519,3.685,4.49908785
820,12.055,4.938,2.56,10.295,3.857,1.894,2.335753823529412
821,8.592,3.806,2.041,7.156,2.851,1.421,1.7001463333333333
822,8.592,3.395,1.86,7.099,2.483,1.265,1.468901416666667
823,12.457,6.667,3.769,10.748,5.358,2.866,3.5992364999999995
824,9.551,4.481,2.479,8.515,3.754,1.985,2.45887
825,9.551,4.481,2.479,7.867,3.315,1.697,2.0060849999999997
826,9.242,3.868,1.76,7.626,2.877,1.215,1.567143
827,9.242,3.868,1.76,7.945,3.066,1.316,1.739955
828,10.516,4.68,2.75,8.63,3.42,1.876,2.1081857142857143
