,LDI,Mac,Mnc,Mpc,QCmax,QCmin,QCss,QHmax,QHmin,QHss,QNmax,QNmin,QNss,QOmax,QOmin,QOss,Qass,Qmax,Qmin,Rnc,Rpc,SPP,Tac,Tnc,Tpc
853,0.069,0.07,-0.088,0.059,0.032,-0.057,0.015,0.156,0.028,0.066,-0.399,-0.399,0.159,0.0,0.0,0.0,0.239,0.156,-0.399,0.567,0.222,0.555,1.408,-0.704,0.704
854,0.072,0.07,-0.088,0.059,0.034,-0.057,0.015,0.156,0.028,0.066,-0.399,-0.399,0.159,0.0,0.0,0.0,0.24,0.156,-0.399,0.565,0.222,0.555,1.41,-0.705,0.705
855,0.097,0.079,-0.095,0.067,0.046,-0.056,0.011,0.156,0.028,0.064,-0.399,-0.399,0.159,0.0,0.0,0.0,0.24,0.156,-0.399,0.597,0.234,0.555,1.336,-0.668,0.668
856,0.114,0.094,-0.11,0.083,0.061,-0.04,0.012,0.156,0.064,0.061,-0.399,-0.399,0.159,0.0,0.0,0.0,0.246,0.156,-0.399,0.604,0.237,0.555,1.321,-0.661,0.661
857,0.15,0.112,-0.122,0.104,0.117,-0.038,0.023,0.293,0.064,0.099,0.0,0.0,0.0,-0.508,-0.508,0.258,0.394,0.293,-0.508,0.696,0.401,0.801,1.46,-0.73,0.73
858,0.071,0.071,-0.088,0.059,0.035,-0.059,0.015,0.156,0.028,0.066,-0.399,-0.399,0.159,0.0,0.0,0.0,0.24,0.156,-0.399,0.565,0.222,0.555,1.41,-0.705,0.705
859,0.129,0.102,-0.139,0.081,0.036,-0.055,0.009,0.156,0.028,0.113,-0.398,-0.399,0.318,0.0,0.0,0.0,0.44,0.156,-0.399,0.41,0.161,0.555,1.945,-0.973,0.973
860,0.168,0.122,-0.157,0.1,0.138,-0.055,0.033,0.293,0.028,0.15,-0.396,-0.396,0.157,-0.506,-0.506,0.256,0.595,0.293,-0.506,0.462,0.268,0.799,2.192,-1.096,1.096
861,0.09,0.062,-0.062,0.062,0.061,-0.022,0.016,0.066,0.066,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.066,-0.083,0.221,0.175,0.149,0.748,-0.374,0.374
862,0.083,0.055,-0.101,0.038,0.038,0.017,0.003,0.045,0.04,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.045,-0.125,0.413,0.147,0.17,0.608,-0.304,0.304
863,0.147,0.095,-0.191,0.064,0.056,0.018,0.006,0.21,0.04,0.056,0.0,0.0,0.0,-0.395,-0.395,0.156,0.234,0.21,-0.395,0.69,0.367,0.605,1.145,-0.572,0.572
864,0.109,0.069,-0.11,0.05,0.054,-0.051,0.01,0.21,0.027,0.054,0.0,0.0,0.0,-0.393,-0.393,0.155,0.218,0.21,-0.393,0.717,0.384,0.603,1.097,-0.549,0.549
865,0.253,0.137,-0.196,0.106,0.335,-0.052,0.199,0.297,0.028,0.103,0.063,0.063,0.004,-0.246,-0.478,0.422,0.728,0.335,-0.478,0.348,0.244,0.813,2.744,-1.372,1.372
866,0.153,0.114,-0.13,0.102,0.129,-0.04,0.048,0.293,0.064,0.197,0.0,0.0,0.0,-0.507,-0.507,0.514,0.78,0.293,-0.507,0.354,0.205,0.8,2.861,-1.431,1.431
867,0.14,0.084,-0.098,0.074,0.198,-0.062,0.074,0.17,0.028,0.116,-0.215,-0.369,0.289,0.0,0.0,0.0,0.479,0.198,-0.369,0.251,0.134,0.567,2.943,-1.471,1.471
868,0.276,0.144,-0.287,0.096,0.273,-0.029,0.113,0.156,0.065,0.077,0.062,-0.396,0.16,-0.258,-0.494,0.378,0.728,0.273,-0.494,0.344,0.19,0.767,2.87,-1.435,1.435
869,0.089,0.071,-0.081,0.063,0.089,-0.062,0.036,0.156,0.028,0.082,-0.15,-0.399,0.204,0.0,0.0,0.0,0.322,0.156,-0.399,0.351,0.138,0.555,2.272,-1.136,1.136
870,0.29,0.08,-0.137,0.057,0.333,-0.089,0.136,0.071,0.023,0.023,0.0,0.0,0.0,-0.247,-0.462,0.274,0.434,0.333,-0.462,0.48,0.346,0.795,1.925,-0.962,0.962
871,0.122,0.071,-0.066,0.076,0.216,-0.062,0.064,0.063,0.062,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.216,-0.078,0.148,0.406,0.294,1.061,-0.531,0.531
872,0.158,0.101,-0.131,0.082,0.157,-0.056,0.064,0.293,0.024,0.19,0.0,0.0,0.0,-0.504,-0.504,0.509,0.762,0.293,-0.504,0.384,0.224,0.797,2.623,-1.312,1.312
873,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
874,0.387,0.17,-0.272,0.124,0.326,-0.013,0.172,0.296,0.03,0.123,-0.343,-0.343,0.117,-0.25,-0.48,0.368,0.781,0.326,-0.48,0.353,0.239,0.806,2.721,-1.361,1.361
875,0.015,0.047,-0.054,0.041,-0.022,-0.062,0.028,0.063,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.063,-0.062,0.127,0.128,0.125,0.977,-0.488,0.488
876,0.018,0.053,-0.056,0.05,-0.023,-0.096,0.031,0.063,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.063,-0.096,0.189,0.125,0.159,1.009,-0.505,0.505
877,0.245,0.152,-0.185,0.129,0.335,-0.059,0.125,0.297,0.062,0.153,-0.399,-0.399,0.159,-0.246,-0.478,0.289,0.726,0.335,-0.478,0.369,0.259,0.813,2.587,-1.293,1.293
878,0.223,0.095,-0.2,0.063,0.117,-0.057,0.02,0.293,0.046,0.115,-0.378,-0.378,0.143,-0.508,-0.508,0.258,0.536,0.293,-0.508,0.508,0.293,0.801,2.001,-1.001,1.001
879,0.151,0.084,-0.119,0.065,0.269,-0.059,0.083,0.07,0.028,0.02,0.062,0.062,0.004,-0.258,-0.258,0.133,0.24,0.269,-0.258,0.362,0.377,0.527,1.429,-0.714,0.714
880,0.194,0.126,-0.201,0.092,0.271,-0.053,0.081,0.156,0.063,0.067,0.062,-0.399,0.163,-0.258,-0.258,0.133,0.444,0.271,-0.399,0.396,0.269,0.67,2.014,-1.007,1.007
881,0.367,0.212,-0.318,0.159,0.338,-0.001,0.217,0.293,0.067,0.281,0.0,0.0,0.0,-0.246,-0.504,1.037,1.535,0.338,-0.504,0.227,0.152,0.842,4.449,-2.225,2.225
882,0.181,0.135,-0.215,0.098,0.272,0.037,0.092,0.156,0.071,0.059,0.062,-0.396,0.161,-0.258,-0.258,0.133,0.459,0.272,-0.396,0.368,0.253,0.668,2.153,-1.076,1.076
883,0.183,0.106,-0.168,0.077,0.269,-0.037,0.077,0.156,0.028,0.065,0.062,-0.399,0.163,-0.258,-0.258,0.133,0.439,0.269,-0.399,0.396,0.268,0.668,2.012,-1.006,1.006
884,0.177,0.108,-0.172,0.079,0.271,-0.05,0.082,0.156,0.028,0.065,0.062,-0.398,0.163,-0.258,-0.258,0.133,0.443,0.271,-0.398,0.386,0.263,0.669,2.061,-1.031,1.031
885,0.225,0.097,-0.127,0.078,0.337,-0.058,0.139,0.067,0.028,0.032,0.0,0.0,0.0,-0.246,-0.465,0.277,0.448,0.337,-0.465,0.459,0.333,0.802,2.029,-1.014,1.014
886,0.305,0.142,-0.192,0.112,0.337,-0.044,0.142,0.293,0.063,0.116,0.0,0.0,0.0,-0.246,-0.508,0.535,0.793,0.337,-0.508,0.377,0.251,0.845,2.693,-1.346,1.346
887,0.151,0.084,-0.119,0.065,0.269,-0.052,0.083,0.07,0.028,0.02,0.062,0.062,0.004,-0.258,-0.258,0.133,0.24,0.269,-0.258,0.363,0.378,0.527,1.424,-0.712,0.712
888,0.174,0.096,-0.135,0.075,0.269,-0.037,0.077,0.07,0.064,0.018,0.062,0.062,0.004,-0.258,-0.258,0.133,0.24,0.269,-0.258,0.383,0.399,0.527,1.349,-0.674,0.674
889,0.201,0.123,-0.196,0.089,0.269,-0.032,0.076,0.156,0.065,0.067,0.062,-0.399,0.163,-0.258,-0.258,0.133,0.439,0.269,-0.399,0.407,0.275,0.668,1.96,-0.98,0.98
890,0.218,0.102,-0.194,0.069,0.269,-0.032,0.076,0.16,0.045,0.05,0.062,-0.388,0.155,-0.258,-0.258,0.133,0.414,0.269,-0.388,0.401,0.278,0.657,1.938,-0.969,0.969
891,0.196,0.095,-0.15,0.069,0.269,-0.045,0.103,0.07,0.031,0.021,0.062,0.062,0.004,-0.258,-0.295,0.22,0.347,0.269,-0.295,0.327,0.298,0.564,1.802,-0.901,0.901
892,0.214,0.071,-0.135,0.048,0.056,-0.052,0.009,0.21,0.024,0.066,-0.302,-0.302,0.091,-0.395,-0.395,0.156,0.322,0.21,-0.395,0.487,0.259,0.605,1.622,-0.811,0.811
893,0.071,0.072,-0.078,0.066,0.099,-0.062,0.028,0.064,0.062,0.02,-0.192,-0.192,0.037,0.0,0.0,0.0,0.085,0.099,-0.192,0.414,0.213,0.291,0.931,-0.465,0.465
894,0.126,0.076,-0.108,0.059,0.034,-0.062,0.015,0.16,0.045,0.052,-0.388,-0.388,0.151,0.0,0.0,0.0,0.218,0.16,-0.388,0.598,0.246,0.548,1.297,-0.649,0.649
895,0.159,0.056,-0.101,0.039,0.039,-0.05,0.008,0.051,0.027,0.015,0.052,-0.261,0.071,-0.125,-0.125,0.016,0.109,0.052,-0.261,0.518,0.104,0.313,1.006,-0.503,0.503
896,0.097,0.09,-0.101,0.082,0.064,-0.057,0.029,0.156,0.037,0.125,-0.398,-0.398,0.316,0.0,0.0,0.0,0.483,0.156,-0.398,0.304,0.119,0.554,2.618,-1.309,1.309
897,0.136,0.099,-0.124,0.083,0.117,-0.062,0.036,0.293,0.062,0.151,-0.355,-0.355,0.126,-0.508,-0.508,0.258,0.571,0.293,-0.508,0.41,0.237,0.801,2.476,-1.238,1.238
898,0.18,0.098,-0.105,0.091,0.323,-0.041,0.127,0.171,0.064,0.088,-0.308,-0.308,0.189,-0.248,-0.248,0.062,0.486,0.323,-0.308,0.225,0.237,0.631,2.73,-1.365,1.365
899,0.258,0.096,-0.143,0.072,0.321,-0.062,0.119,0.171,0.046,0.062,-0.308,-0.331,0.204,-0.248,-0.248,0.062,0.447,0.321,-0.331,0.288,0.28,0.652,2.293,-1.146,1.146
900,0.114,0.089,-0.106,0.077,0.039,-0.062,0.023,0.167,0.062,0.113,-0.356,-0.399,0.285,0.0,0.0,0.0,0.422,0.167,-0.399,0.343,0.143,0.566,2.323,-1.161,1.161
901,0.138,0.093,-0.126,0.074,0.269,-0.046,0.085,0.156,0.064,0.083,0.062,-0.399,0.163,-0.258,-0.258,0.133,0.472,0.269,-0.399,0.317,0.214,0.668,2.513,-1.257,1.257
902,0.143,0.06,-0.094,0.044,0.036,-0.057,0.025,0.064,0.037,0.06,-0.378,-0.378,0.285,0.0,0.0,0.0,0.371,0.064,-0.378,0.308,0.053,0.442,2.451,-1.225,1.225
903,0.226,0.098,-0.142,0.074,0.119,-0.035,0.049,0.167,0.065,0.089,-0.356,-0.356,0.126,-0.497,-0.497,0.494,0.758,0.167,-0.497,0.318,0.107,0.664,3.121,-1.56,1.56
904,0.124,0.071,-0.095,0.056,0.039,-0.062,0.028,0.167,0.025,0.097,-0.356,-0.383,0.273,0.0,0.0,0.0,0.398,0.167,-0.383,0.31,0.135,0.55,2.471,-1.235,1.235
905,0.084,0.088,-0.098,0.079,0.031,-0.057,0.025,0.156,0.037,0.133,-0.399,-0.399,0.318,0.0,0.0,0.0,0.475,0.156,-0.399,0.314,0.123,0.555,2.538,-1.269,1.269
906,0.167,0.093,-0.106,0.083,0.127,-0.04,0.042,0.156,0.064,0.083,-0.399,-0.399,0.159,-0.457,-0.457,0.209,0.5,0.156,-0.457,0.394,0.135,0.613,2.322,-1.161,1.161
907,0.063,0.043,-0.071,0.031,0.007,-0.053,0.022,0.123,0.027,0.034,-0.311,-0.311,0.097,0.0,0.0,0.0,0.153,0.123,-0.311,0.401,0.158,0.434,1.552,-0.776,0.776
908,0.14,0.06,-0.1,0.043,0.034,-0.063,0.024,0.16,0.023,0.084,-0.383,-0.383,0.293,0.0,0.0,0.0,0.4,0.16,-0.383,0.318,0.133,0.543,2.403,-1.201,1.201
909,0.154,0.098,-0.11,0.089,0.198,-0.062,0.073,0.17,0.062,0.119,-0.216,-0.369,0.289,0.0,0.0,0.0,0.482,0.198,-0.369,0.259,0.139,0.567,2.851,-1.426,1.426
910,0.174,0.099,-0.106,0.092,0.323,-0.062,0.136,0.171,0.062,0.099,-0.308,-0.308,0.189,-0.248,-0.248,0.062,0.486,0.323,-0.308,0.223,0.234,0.631,2.765,-1.382,1.382
911,0.214,0.11,-0.164,0.082,0.221,-0.058,0.059,0.169,0.033,0.097,-0.326,-0.399,0.265,-0.275,-0.275,0.076,0.497,0.221,-0.399,0.346,0.192,0.62,2.302,-1.151,1.151
912,0.206,0.098,-0.146,0.073,0.119,-0.038,0.025,0.156,0.028,0.078,-0.399,-0.399,0.159,-0.497,-0.497,0.247,0.508,0.156,-0.497,0.484,0.152,0.653,2.051,-1.025,1.025
913,0.184,0.083,-0.129,0.061,0.166,-0.061,0.057,0.065,0.046,0.038,-0.228,-0.24,0.11,-0.379,-0.379,0.143,0.36,0.166,-0.379,0.326,0.143,0.545,2.324,-1.162,1.162
914,0.139,0.058,-0.102,0.041,0.056,-0.065,0.021,0.21,0.023,0.071,-0.301,-0.301,0.091,-0.395,-0.395,0.156,0.34,0.21,-0.395,0.387,0.206,0.605,2.043,-1.022,1.022
