,LDI,Mac,Mnc,Mpc,QCmax,QCmin,QCss,QHmax,QHmin,QHss,QNmax,QNmin,QNss,QOmax,QOmin,QOss,Qass,Qmax,Qmin,Rnc,Rpc,SPP,Tac,Tnc,Tpc
928,0.513,0.138,-0.299,0.09,0.31,0.034,0.194,0.035,0.035,0.007,0.0,0.0,0.0,-0.252,-0.394,0.282,0.484,0.31,-0.394,0.438,0.345,0.704,1.795,-0.898,0.898
929,0.437,0.163,-0.299,0.112,0.314,0.057,0.203,0.039,0.039,0.006,0.0,0.0,0.0,-0.252,-0.393,0.281,0.49,0.314,-0.393,0.438,0.35,0.707,1.793,-0.897,0.897
930,0.185,0.066,-0.139,0.043,0.069,-0.037,0.017,0.061,0.026,0.02,0.0,0.0,0.0,-0.373,-0.373,0.139,0.207,0.069,-0.373,0.536,0.099,0.442,1.392,-0.696,0.696
931,0.069,0.07,-0.088,0.059,0.032,-0.056,0.015,0.156,0.028,0.066,-0.399,-0.399,0.159,0.0,0.0,0.0,0.24,0.156,-0.399,0.566,0.222,0.555,1.409,-0.704,0.704
932,0.033,0.055,-0.055,0.055,0.017,-0.062,0.016,0.063,0.062,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.063,-0.062,0.188,0.192,0.125,0.663,-0.331,0.331
933,0.094,0.063,-0.1,0.046,0.054,-0.053,0.012,0.21,0.027,0.056,0.0,0.0,0.0,-0.393,-0.393,0.155,0.223,0.21,-0.393,0.653,0.35,0.603,1.204,-0.602,0.602
934,0.115,0.052,-0.111,0.034,0.132,-0.052,0.025,0.035,0.027,0.009,0.0,0.0,0.0,-0.3,-0.3,0.09,0.124,0.132,-0.3,0.674,0.298,0.432,0.89,-0.445,0.445
935,0.109,0.062,-0.087,0.048,0.03,-0.056,0.009,0.084,0.028,0.025,-0.264,-0.264,0.07,0.0,0.0,0.0,0.104,0.084,-0.264,0.608,0.194,0.348,0.871,-0.435,0.435
936,0.158,0.079,-0.087,0.072,0.129,-0.058,0.023,0.084,0.062,0.019,-0.245,-0.245,0.06,0.0,0.0,0.0,0.106,0.129,-0.245,0.565,0.297,0.374,0.866,-0.433,0.433
937,0.285,0.106,-0.18,0.075,0.303,-0.065,0.103,0.296,0.023,0.095,0.0,0.0,0.0,-0.252,-0.481,0.295,0.494,0.303,-0.481,0.536,0.337,0.784,1.795,-0.898,0.898
938,0.16,0.069,-0.121,0.049,0.059,-0.036,0.013,0.211,0.026,0.101,0.0,0.0,0.0,-0.39,-0.39,0.305,0.419,0.211,-0.39,0.402,0.217,0.601,1.941,-0.97,0.97
939,0.195,0.068,-0.153,0.044,0.13,-0.006,0.034,0.035,0.031,0.011,0.0,0.0,0.0,-0.3,-0.3,0.18,0.225,0.13,-0.3,0.491,0.212,0.43,1.223,-0.611,0.611
940,0.371,0.134,-0.176,0.108,0.244,-0.094,0.145,0.165,0.054,0.086,-0.335,-0.335,0.225,-0.27,-0.27,0.146,0.601,0.244,-0.335,0.238,0.174,0.579,2.812,-1.406,1.406
941,0.204,0.106,-0.212,0.071,0.043,-0.028,0.005,0.21,0.029,0.104,0.0,0.0,0.0,-0.396,-0.396,0.314,0.424,0.21,-0.396,0.467,0.248,0.606,1.696,-0.848,0.848
942,0.213,0.087,-0.143,0.063,0.303,-0.065,0.109,0.296,0.023,0.098,0.0,0.0,0.0,-0.252,-0.481,0.295,0.502,0.303,-0.481,0.479,0.302,0.784,2.009,-1.004,1.004
943,0.361,0.155,-0.326,0.102,0.304,0.004,0.19,0.296,0.039,0.188,0.0,0.0,0.0,-0.252,-0.481,0.591,0.995,0.304,-0.481,0.296,0.187,0.785,3.256,-1.628,1.628
944,0.091,0.062,-0.109,0.043,0.043,-0.065,0.016,0.21,0.023,0.058,0.0,0.0,0.0,-0.396,-0.396,0.157,0.231,0.21,-0.396,0.608,0.322,0.606,1.305,-0.652,0.652
945,0.273,0.122,-0.367,0.073,0.056,0.018,0.007,0.21,0.045,0.125,-0.312,-0.312,0.097,-0.395,-0.395,0.312,0.541,0.21,-0.395,0.358,0.191,0.605,2.205,-1.102,1.102
946,0.208,0.084,-0.209,0.052,0.06,0.046,0.011,0.058,0.046,0.022,0.0,0.0,0.0,-0.379,-0.379,0.144,0.208,0.06,-0.379,0.604,0.096,0.439,1.255,-0.627,0.627
947,0.303,0.137,-0.388,0.083,0.07,0.067,0.019,0.21,0.059,0.116,0.0,0.0,0.0,-0.377,-0.394,0.452,0.587,0.21,-0.394,0.338,0.18,0.604,2.329,-1.165,1.165
948,0.103,0.059,-0.119,0.04,0.062,-0.039,0.013,0.042,0.028,0.01,-0.198,-0.198,0.079,0.0,0.0,0.0,0.102,0.062,-0.198,0.417,0.131,0.26,0.95,-0.475,0.475
949,0.207,0.084,-0.184,0.054,0.07,-0.065,0.02,0.21,0.023,0.069,0.0,0.0,0.0,-0.379,-0.394,0.299,0.388,0.21,-0.394,0.427,0.228,0.604,1.844,-0.922,0.922
950,0.276,0.101,-0.239,0.064,0.146,0.046,0.034,0.088,0.046,0.038,0.0,0.0,0.0,-0.354,-0.354,0.251,0.353,0.146,-0.354,0.37,0.153,0.5,1.914,-0.957,0.957
951,0.171,0.077,-0.123,0.056,0.303,-0.065,0.114,0.296,0.023,0.101,0.0,0.0,0.0,-0.252,-0.481,0.295,0.511,0.303,-0.481,0.433,0.273,0.784,2.222,-1.111,1.111
952,0.205,0.07,-0.159,0.045,0.07,-0.065,0.04,0.059,0.023,0.05,0.0,0.0,0.0,-0.377,-0.379,0.429,0.52,0.07,-0.379,0.265,0.049,0.449,2.866,-1.433,1.433
953,0.235,0.178,-0.205,0.158,0.309,0.06,0.28,0.296,0.046,0.18,0.0,0.0,0.0,-0.252,-0.481,0.59,1.107,0.309,-0.481,0.235,0.151,0.79,4.097,-2.048,2.048
954,0.303,0.105,-0.179,0.074,0.306,-0.065,0.105,0.296,0.023,0.094,0.0,0.0,0.0,-0.252,-0.481,0.295,0.494,0.306,-0.481,0.539,0.342,0.787,1.786,-0.893,0.893
955,0.177,0.116,-0.175,0.087,0.198,-0.061,0.129,0.156,0.062,0.087,-0.398,-0.398,0.158,-0.288,-0.496,0.412,0.786,0.198,-0.496,0.284,0.113,0.694,3.493,-1.746,1.746
956,0.157,0.13,-0.176,0.103,0.198,-0.061,0.122,0.293,0.062,0.159,-0.398,-0.398,0.158,-0.288,-0.507,0.424,0.863,0.293,-0.507,0.289,0.167,0.8,3.515,-1.758,1.758
957,0.116,0.1,-0.1,0.1,0.315,-0.062,0.149,0.296,0.052,0.129,0.0,0.0,0.0,-0.251,-0.481,0.294,0.572,0.315,-0.481,0.345,0.226,0.796,2.789,-1.394,1.394
958,0.23,0.141,-0.165,0.124,0.125,-0.06,0.041,0.234,0.062,0.178,-0.398,-0.398,0.158,-0.194,-0.282,0.309,0.862,0.297,-0.398,0.201,0.15,0.695,3.957,-1.979,1.979
959,0.132,0.101,-0.131,0.082,0.194,-0.061,0.098,0.156,0.062,0.077,-0.399,-0.399,0.159,-0.289,-0.289,0.167,0.501,0.194,-0.399,0.304,0.148,0.593,2.626,-1.313,1.313
960,0.183,0.07,-0.105,0.053,0.339,-0.065,0.308,0.071,0.023,0.056,0.0,0.0,0.0,-0.246,-0.462,0.548,0.912,0.339,-0.462,0.199,0.146,0.801,4.641,-2.321,2.321
961,0.395,0.163,-0.315,0.11,0.335,-0.001,0.231,0.297,0.067,0.137,0.0,0.0,0.0,-0.246,-0.493,1.014,1.382,0.335,-0.493,0.224,0.152,0.828,4.403,-2.202,2.202
962,0.192,0.117,-0.131,0.106,0.342,-0.062,0.185,0.293,0.062,0.133,0.0,0.0,0.0,-0.246,-0.507,0.527,0.845,0.342,-0.507,0.298,0.201,0.849,3.402,-1.701,1.701
963,0.321,0.167,-0.314,0.114,0.226,-0.002,0.123,0.293,0.031,0.105,0.0,0.0,0.0,-0.286,-0.502,0.55,0.778,0.293,-0.502,0.4,0.234,0.795,2.51,-1.255,1.255
964,0.192,0.114,-0.129,0.103,0.335,-0.062,0.133,0.297,0.028,0.106,0.0,0.0,0.0,-0.246,-0.478,0.289,0.527,0.335,-0.478,0.464,0.326,0.813,2.058,-1.029,1.029
965,0.247,0.116,-0.178,0.086,0.344,-0.062,0.278,0.083,0.027,0.064,0.0,0.0,0.0,-0.248,-0.482,0.8,1.141,0.344,-0.482,0.208,0.148,0.826,4.638,-2.319,2.319
966,0.097,0.091,-0.098,0.085,0.195,-0.062,0.093,0.212,0.062,0.089,0.0,0.0,0.0,-0.291,-0.38,0.229,0.412,0.212,-0.38,0.3,0.167,0.592,2.537,-1.269,1.269
967,0.155,0.098,-0.116,0.085,0.292,-0.062,0.123,0.167,0.062,0.065,0.064,-0.35,0.127,-0.258,-0.258,0.133,0.447,0.292,-0.35,0.275,0.23,0.642,2.545,-1.273,1.273
968,0.171,0.113,-0.124,0.105,0.095,-0.06,0.024,0.234,0.062,0.128,-0.398,-0.398,0.159,-0.194,-0.282,0.155,0.552,0.294,-0.398,0.293,0.216,0.692,2.72,-1.36,1.36
969,0.192,0.132,-0.142,0.124,0.336,-0.061,0.263,0.297,0.062,0.208,0.0,0.0,0.0,-0.246,-0.478,0.578,1.054,0.336,-0.478,0.241,0.17,0.814,3.965,-1.983,1.983
970,0.218,0.118,-0.167,0.091,0.142,-0.052,0.072,0.156,0.063,0.15,-0.396,-0.396,0.313,-0.495,-0.495,0.489,1.024,0.156,-0.495,0.247,0.078,0.651,4.006,-2.003,2.003
971,0.08,0.078,-0.089,0.069,0.034,-0.052,0.021,0.156,0.028,0.127,-0.399,-0.399,0.318,0.0,0.0,0.0,0.465,0.156,-0.399,0.321,0.126,0.555,2.487,-1.243,1.243
972,0.25,0.104,-0.162,0.077,0.16,-0.055,0.069,0.118,0.033,0.073,-0.33,-0.33,0.109,-0.493,-0.493,0.486,0.737,0.16,-0.493,0.337,0.11,0.653,2.923,-1.461,1.461
973,0.082,0.08,-0.086,0.074,0.119,-0.062,0.039,0.293,0.037,0.121,0.0,0.0,0.0,-0.508,-0.508,0.258,0.425,0.293,-0.508,0.491,0.283,0.801,2.068,-1.034,1.034
974,0.176,0.09,-0.154,0.063,0.117,-0.054,0.023,0.293,0.025,0.133,-0.385,-0.385,0.148,-0.508,-0.508,0.258,0.563,0.293,-0.508,0.471,0.272,0.801,2.159,-1.079,1.079
975,0.097,0.08,-0.097,0.068,0.17,-0.062,0.098,0.063,0.044,0.043,0.0,0.0,0.0,-0.294,-0.294,0.172,0.313,0.17,-0.294,0.252,0.146,0.464,2.327,-1.164,1.164
976,0.167,0.08,-0.11,0.063,0.221,-0.062,0.065,0.169,0.028,0.05,-0.326,-0.326,0.106,-0.275,-0.275,0.076,0.297,0.221,-0.326,0.369,0.25,0.547,1.768,-0.884,0.884
977,0.192,0.085,-0.136,0.061,0.119,-0.056,0.044,0.293,0.024,0.118,0.0,0.0,0.0,-0.497,-0.508,0.504,0.667,0.293,-0.508,0.414,0.239,0.801,2.453,-1.227,1.227
978,0.279,0.138,-0.147,0.131,0.416,-0.048,0.278,0.07,0.063,0.013,0.064,0.064,0.004,-0.258,-0.258,0.133,0.518,0.416,-0.258,0.22,0.354,0.674,2.351,-1.176,1.176
979,0.254,0.127,-0.199,0.093,0.161,-0.048,0.084,0.293,0.027,0.123,0.0,0.0,0.0,-0.298,-0.504,0.583,0.79,0.293,-0.504,0.362,0.211,0.797,2.783,-1.392,1.392
980,0.341,0.178,-0.255,0.137,0.335,-0.044,0.175,0.297,0.063,0.2,0.0,0.0,0.0,-0.246,-0.504,0.786,1.162,0.335,-0.504,0.283,0.188,0.839,3.564,-1.782,1.782
981,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
982,0.339,0.189,-0.227,0.162,0.345,0.119,0.168,0.159,0.093,0.059,0.076,-0.375,0.195,-0.257,-0.257,0.133,0.555,0.345,-0.375,0.33,0.304,0.72,2.271,-1.136,1.136
983,0.187,0.097,-0.153,0.071,0.27,-0.055,0.105,0.07,0.031,0.021,0.062,0.062,0.004,-0.258,-0.295,0.22,0.35,0.27,-0.295,0.321,0.294,0.565,1.835,-0.918,0.918
984,0.314,0.182,-0.205,0.164,0.335,-0.061,0.241,0.297,0.062,0.192,0.0,0.0,0.0,-0.246,-0.478,0.578,1.011,0.335,-0.478,0.292,0.205,0.813,3.274,-1.637,1.637
985,0.106,0.089,-0.111,0.074,0.194,-0.062,0.076,0.19,0.062,0.064,-0.174,-0.277,0.107,-0.289,-0.289,0.083,0.331,0.194,-0.289,0.26,0.175,0.483,2.223,-1.111,1.111
986,0.155,0.077,-0.115,0.057,0.119,-0.103,0.061,0.211,0.028,0.111,-0.256,-0.297,0.154,-0.387,-0.497,0.396,0.722,0.211,-0.497,0.27,0.115,0.708,3.678,-1.839,1.839
987,0.277,0.1,-0.15,0.075,0.339,-0.062,0.277,0.071,0.023,0.043,0.0,0.0,0.0,-0.246,-0.462,0.548,0.868,0.339,-0.462,0.257,0.188,0.801,3.6,-1.8,1.8
988,0.284,0.121,-0.161,0.097,0.339,-0.1,0.302,0.075,0.054,0.057,0.0,0.0,0.0,-0.246,-0.458,0.54,0.9,0.339,-0.458,0.237,0.175,0.797,3.865,-1.933,1.933
989,0.08,0.078,-0.089,0.069,0.094,-0.062,0.047,0.156,0.062,0.093,-0.15,-0.398,0.204,0.0,0.0,0.0,0.343,0.156,-0.398,0.32,0.125,0.554,2.491,-1.245,1.245
990,0.218,0.137,-0.205,0.102,0.2,-0.061,0.115,0.293,0.062,0.215,0.0,0.0,0.0,-0.288,-0.507,0.844,1.173,0.293,-0.507,0.248,0.143,0.8,4.097,-2.048,2.048
991,0.262,0.142,-0.269,0.097,0.2,-0.044,0.13,0.293,0.063,0.225,0.0,0.0,0.0,-0.288,-0.507,1.091,1.445,0.293,-0.507,0.209,0.121,0.8,4.842,-2.421,2.421
992,0.163,0.127,-0.165,0.103,0.196,-0.062,0.094,0.293,0.062,0.205,0.0,0.0,0.0,-0.288,-0.508,0.598,0.897,0.293,-0.508,0.307,0.177,0.801,3.307,-1.654,1.654
993,0.12,0.073,-0.11,0.055,0.049,-0.061,0.024,0.156,0.025,0.084,-0.341,-0.399,0.275,0.0,0.0,0.0,0.383,0.156,-0.399,0.362,0.142,0.555,2.2,-1.1,1.1
994,0.143,0.1,-0.115,0.088,0.336,-0.062,0.157,0.297,0.062,0.128,-0.248,-0.248,0.061,-0.246,-0.478,0.289,0.635,0.336,-0.478,0.32,0.225,0.814,2.985,-1.493,1.493
995,0.164,0.101,-0.128,0.083,0.34,-0.062,0.165,0.156,0.035,0.097,-0.398,-0.398,0.158,-0.246,-0.462,0.274,0.694,0.34,-0.462,0.278,0.205,0.802,3.32,-1.66,1.66
996,0.275,0.11,-0.226,0.072,0.336,-0.056,0.225,0.07,0.024,0.036,0.0,0.0,0.0,-0.246,-0.492,0.69,0.951,0.336,-0.492,0.272,0.186,0.828,3.619,-1.809,1.809
997,0.228,0.157,-0.19,0.133,0.337,-0.027,0.132,0.297,0.065,0.145,-0.397,-0.397,0.158,-0.246,-0.478,0.289,0.738,0.337,-0.478,0.358,0.253,0.815,2.666,-1.333,1.333
998,0.321,0.217,-0.233,0.204,0.304,0.183,0.215,0.212,0.159,0.132,-0.15,-0.368,0.342,-0.265,-0.265,0.07,0.76,0.304,-0.368,0.226,0.187,0.672,3.26,-1.63,1.63
999,0.275,0.162,-0.198,0.137,0.336,-0.061,0.238,0.297,0.05,0.197,0.0,0.0,0.0,-0.246,-0.481,0.583,1.031,0.336,-0.481,0.269,0.188,0.817,3.572,-1.786,1.786
