,EstateVSA0,EstateVSA1,EstateVSA10,EstateVSA2,EstateVSA3,EstateVSA4,EstateVSA5,EstateVSA6,EstateVSA7,EstateVSA8,EstateVSA9,LabuteASA,MRVSA0,MRVSA1,MRVSA2,MRVSA3,MRVSA4,MRVSA5,MRVSA6,MRVSA7,MRVSA8,MRVSA9,MTPSA,PEOEVSA0,PEOEVSA1,PEOEVSA10,PEOEVSA11,PEOEVSA12,PEOEVSA13,PEOEVSA2,PEOEVSA3,PEOEVSA4,PEOEVSA5,PEOEVSA6,PEOEVSA7,PEOEVSA8,PEOEVSA9,VSAEstate0,VSAEstate1,VSAEstate10,VSAEstate2,VSAEstate3,VSAEstate4,VSAEstate5,VSAEstate6,VSAEstate7,VSAEstate8,VSAEstate9,slogPVSA0,slogPVSA1,slogPVSA10,slogPVSA11,slogPVSA2,slogPVSA3,slogPVSA4,slogPVSA5,slogPVSA6,slogPVSA7,slogPVSA8,slogPVSA9
332,0.0,11.477,0.0,6.042,29.91,5.563,4.682,42.061,63.051,0.0,4.795,167.569,0.0,0.0,14.264,7.048,45.697,7.048,87.838,0.0,5.687,0.0,30.17,0.0,14.376,0.0,0.0,5.559,0.0,4.682,0.0,0.0,62.378,44.006,25.198,11.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.819,53.181,0.0,5.559,27.353,0.0,0.0,20.013,0.0,43.51,65.458,0.0,5.687,0.0,0.0
333,12.186,19.132,0.0,0.0,5.563,0.0,0.0,30.332,0.0,20.941,9.589,98.486,19.063,0.0,0.0,11.467,5.918,13.214,35.895,0.0,0.0,12.186,104.64,20.941,0.0,0.0,0.0,0.0,12.186,9.589,0.0,0.0,30.332,5.563,0.0,5.918,13.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.333,0.0,11.467,25.4,0.0,0.0,9.474,0.0,11.481,30.332,0.0,0.0,0.0,9.589
334,5.969,6.421,0.0,0.0,16.69,0.0,0.0,54.597,0.0,5.107,4.795,94.174,9.901,0.0,0.0,0.0,6.421,0.0,60.161,0.0,11.127,5.969,37.3,5.107,4.795,0.0,0.0,0.0,5.969,0.0,0.0,0.0,54.597,16.69,0.0,6.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.167,0.0,0.0,11.076,0.0,0.0,11.215,0.0,5.563,54.597,0.0,11.127,0.0,0.0
335,17.857,11.63,0.0,33.126,0.0,7.11,38.97,0.0,5.317,32.676,9.589,156.132,19.063,0.0,5.317,0.0,26.689,13.717,56.348,0.0,0.0,35.14,64.63,14.791,0.0,0.0,0.0,0.0,11.939,9.589,0.0,0.0,35.335,32.401,11.394,40.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.032,12.524,5.317,25.655,0.0,23.202,19.063,0.0,32.253,40.739,10.045,0.0,0.0,0.0
336,6.093,0.0,0.0,5.948,15.929,12.005,11.762,36.398,32.154,0.0,4.795,125.277,9.531,0.0,9.968,0.0,9.791,12.427,48.531,0.0,0.0,34.837,67.01,9.721,5.317,0.0,5.948,0.0,6.093,9.779,0.0,0.0,29.961,30.332,9.791,18.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.663,1.67,5.317,23.171,0.0,11.762,4.737,0.0,0.0,58.322,0.0,11.033,0.0,10.743
337,5.969,18.625,0.0,5.563,11.127,0.0,12.133,42.465,0.0,5.107,9.589,111.066,14.696,0.0,0.0,0.0,12.842,0.0,60.161,0.0,11.127,11.753,54.37,5.107,9.589,5.783,0.0,0.0,5.969,0.0,0.0,0.0,54.597,11.127,11.984,6.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.333,0.0,0.0,16.859,0.0,0.0,4.795,0.0,23.2,54.597,0.0,11.127,0.0,0.0
338,11.57,11.887,0.0,21.899,0.0,0.0,76.226,0.0,0.0,21.075,9.589,152.261,19.063,0.0,0.0,0.0,39.4,0.0,64.68,0.0,5.75,23.353,52.6,9.474,4.795,11.384,0.0,0.0,5.969,4.795,0.0,0.0,11.601,76.226,16.15,6.104,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.858,5.836,4.737,23.458,5.75,11.601,9.531,0.0,43.616,48.531,5.023,0.0,0.0,0.0
339,6.719,0.0,0.0,5.75,5.563,19.115,11.762,31.379,0.0,25.378,0.0,105.735,13.571,0.0,0.0,0.0,11.819,20.475,23.763,0.0,5.75,30.287,27.69,13.571,0.0,0.0,0.0,0.0,6.719,0.0,0.0,11.762,0.0,36.942,30.922,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68,13.297,6.829,4.524,20.475,5.75,18.48,20.854,6.924,5.563,23.095,0.0,0.0,0.0,0.0
340,0.0,19.307,0.0,23.862,31.133,5.563,24.265,17.033,10.966,25.812,4.795,162.721,19.005,0.0,9.8,0.0,6.545,39.579,53.051,0.0,17.249,17.508,51.24,19.11,9.694,18.106,6.793,5.907,0.0,0.0,0.0,0.0,17.667,41.962,37.746,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.264,5.847,14.211,55.286,17.249,11.601,11.339,0.0,5.563,42.465,5.023,0.0,0.0,0.0
341,17.235,18.653,0.0,0.0,12.133,40.739,0.0,0.0,20.165,0.0,13.887,123.419,13.887,0.0,29.529,0.0,18.691,0.0,60.706,0.0,0.0,0.0,81.65,5.107,0.0,0.0,0.0,0.0,0.0,28.112,10.197,0.0,6.066,6.066,11.63,13.09,42.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.948,31.302,0.0,0.0,34.635,0.0,0.0,18.691,11.634,5.563,43.508,0.0,0.0,0.0,8.781
