,AW,Arto,BertzCT,DZ,GMTI,Geto,Hato,Ipc,J,MZM1,MZM2,Platt,Pol,Qindex,Sito,Thara,Tigdi,Tsch,W,Xu,ZM1,ZM2,diametert,petitjeant,radiust
944,2.667,1.714,1.368,15.0,2.164,1.641,1.556,1.55,2.447,3.25,0.75,10,4.0,0.0,1.505,11.15,1.959,204.0,56.0,7.297,22,20,6.0,0.5,3.0
945,2.667,1.714,1.46,16.5,2.164,1.641,1.556,1.55,2.447,3.25,0.75,10,4.0,0.0,1.505,11.15,1.959,204.0,56.0,7.297,22,20,6.0,0.5,3.0
946,2.667,1.714,1.46,15.667,2.164,1.641,1.556,1.55,2.447,3.25,0.75,10,4.0,0.0,1.505,11.15,1.959,204.0,56.0,7.297,22,20,6.0,0.5,3.0
947,2.667,1.714,1.417,17.0,2.164,1.641,1.556,1.55,2.447,3.25,0.75,10,4.0,0.0,1.505,11.15,1.959,204.0,56.0,7.297,22,20,6.0,0.5,3.0
948,3.0,1.75,1.998,17.0,2.364,1.682,1.6,1.789,2.774,3.5,0.812,12,5.0,0.0,1.806,13.743,2.146,306.0,84.0,8.584,26,24,7.0,0.429,4.0
949,3.0,1.75,1.498,18.0,2.364,1.682,1.6,1.789,2.53,3.5,0.812,12,5.0,0.0,1.806,13.743,2.146,306.0,84.0,8.584,26,24,7.0,0.429,4.0
950,3.333,1.778,1.665,20.667,2.537,1.714,1.636,2.016,2.595,3.75,0.875,14,6.0,0.0,2.107,16.461,2.31,438.0,120.0,9.835,30,28,8.0,0.5,4.0
951,3.855,1.818,1.999,24.0,2.805,1.718,1.61,2.382,2.85,4.861,0.875,20,8.0,1.0,2.584,22.619,2.605,778.0,212.0,12.088,40,38,9.0,0.444,5.0
952,5.333,1.867,1.978,33.0,3.263,1.823,1.765,3.348,2.808,5.25,1.25,26,12.0,0.0,3.913,34.773,3.006,2084.0,560.0,16.752,54,52,14.0,0.5,7.0
953,3.158,2.105,2.687,44.0,3.278,1.761,1.49,4.006,2.839,10.854,1.002,72,46.0,21.0,4.669,68.95,3.78,2158.0,540.0,17.321,112,150,6.0,0.333,4.0
954,2.19,1.714,1.836,16.0,2.025,1.511,1.355,1.447,3.343,4.472,0.623,14,6.0,2.0,1.255,12.0,2.097,168.0,46.0,6.669,26,26,4.0,0.5,2.0
955,3.497,2.211,2.857,41.5,3.416,2.05,1.869,4.45,2.384,6.639,1.071,62,37.0,17.0,5.924,66.099,3.691,2611.0,598.0,17.97,104,129,8.0,0.5,4.0
956,3.34,2.222,2.809,39.5,3.356,2.053,1.862,4.212,2.409,6.389,0.904,60,35.0,17.0,5.623,61.305,3.618,2260.0,511.0,17.054,100,124,7.0,0.429,4.0
957,3.525,2.125,2.626,34.0,3.247,2.03,1.92,3.773,2.437,4.944,0.87,44,22.0,10.0,4.919,47.53,3.362,1810.0,423.0,15.887,78,89,8.0,0.5,4.0
958,3.602,2.105,2.94,44.5,3.37,1.854,1.629,4.032,3.069,8.931,0.848,64,33.0,17.0,5.095,64.798,3.672,2520.0,616.0,17.997,104,123,7.0,0.429,4.0
959,3.324,2.235,2.819,36.5,3.313,2.091,1.925,4.037,2.33,5.528,0.824,56,31.0,16.0,5.447,55.63,3.506,2027.0,452.0,16.332,94,115,8.0,0.5,4.0
960,6.317,2.0,2.725,60.0,3.939,1.88,1.75,6.127,2.691,10.667,2.1,68,38.0,9.0,7.679,98.71,4.057,9256.0,2388.0,27.211,124,137,17.0,0.471,9.0
961,3.333,2.0,2.54,35.0,3.071,1.817,1.636,3.341,3.351,6.806,1.204,40,23.0,8.0,3.891,42.736,3.283,1363.0,350.0,14.722,70,81,7.0,0.429,4.0
962,4.206,2.118,2.704,37.0,3.388,2.028,1.925,3.988,2.013,5.194,0.914,46,22.0,10.0,5.22,49.813,3.359,2450.0,572.0,17.405,82,92,10.0,0.5,5.0
963,2.278,2.0,2.417,21.0,2.452,1.817,1.636,2.04,3.426,4.083,0.539,24,11.0,6.0,2.334,19.667,2.559,349.0,82.0,8.582,42,47,4.0,0.25,3.0
964,2.533,2.0,2.403,22.0,2.598,1.835,1.667,2.261,3.153,4.333,0.601,26,12.0,6.0,2.635,22.9,2.682,474.0,114.0,9.788,46,51,5.0,0.4,3.0
965,5.283,2.167,2.96,53.0,3.799,2.064,1.946,5.541,1.93,7.278,1.308,70,36.0,16.0,7.554,84.293,3.862,6202.0,1458.0,23.55,122,141,14.0,0.5,7.0
966,3.733,2.125,2.665,34.0,3.281,2.03,1.92,3.81,2.239,4.944,0.87,44,22.0,10.0,4.919,46.787,3.314,1930.0,448.0,16.153,78,89,9.0,0.444,5.0
967,3.725,2.125,2.697,35.0,3.273,2.03,1.92,3.758,2.315,4.944,0.851,44,21.0,10.0,4.919,46.694,3.318,1912.0,447.0,16.094,78,88,8.0,0.5,4.0
968,3.295,2.133,2.792,33.5,3.146,1.94,1.748,3.369,2.786,6.007,0.684,48,23.0,13.0,4.317,44.307,3.272,1478.0,346.0,14.735,80,93,7.0,0.429,4.0
969,4.463,2.1,2.776,44.0,3.536,1.966,1.818,4.537,2.217,7.167,1.098,56,29.0,12.0,5.873,64.417,3.635,3518.0,848.0,19.803,98,112,9.0,0.444,5.0
970,4.007,2.111,2.713,39.0,3.389,1.963,1.8,4.128,2.48,6.667,1.162,52,28.0,12.0,5.271,56.259,3.493,2548.0,613.0,17.824,90,105,9.0,0.444,5.0
971,3.667,2.125,2.682,33.0,3.255,1.958,1.778,3.649,2.502,6.167,0.829,48,24.0,12.0,4.669,47.554,3.326,1866.0,440.0,15.96,82,95,9.0,0.444,5.0
972,3.282,2.0,2.437,28.5,2.946,1.872,1.733,2.989,2.914,5.083,1.082,32,17.0,6.0,3.539,33.354,3.011,1015.0,256.0,13.158,58,65,8.0,0.5,4.0
973,3.6,2.133,2.655,31.333,3.206,2.032,1.915,3.522,2.281,4.694,0.769,42,19.0,10.0,4.618,42.383,3.217,1636.0,378.0,15.186,74,83,8.0,0.5,4.0
974,2.836,2.0,2.39,23.5,2.733,1.849,1.692,2.489,2.928,4.583,0.748,28,13.0,6.0,2.937,26.117,2.783,635.0,156.0,11.002,50,55,6.0,0.5,3.0
