,AW,Arto,BertzCT,DZ,GMTI,Geto,Hato,Ipc,J,MZM1,MZM2,Platt,Pol,Qindex,Sito,Thara,Tigdi,Tsch,W,Xu,ZM1,ZM2,diametert,petitjeant,radiust
50,3.697,2.0,2.158,26.0,2.959,1.906,1.8,2.858,1.909,4.222,0.708,28,9.0,5.0,3.362,27.757,2.794,998.0,244.0,12.832,52,54,8.0,0.5,4.0
51,2.636,2.0,2.015,30.0,2.756,1.732,1.5,2.619,2.76,6.667,0.741,36,21.0,9.0,2.863,31.6,3.026,696.0,174.0,11.444,60,72,5.0,0.2,4.0
52,4.125,2.118,2.725,37.0,3.351,1.994,1.855,4.001,2.187,5.806,0.997,48,22.0,11.0,5.095,50.369,3.367,2340.0,561.0,17.232,84,96,10.0,0.5,5.0
53,3.371,2.0,2.371,36.5,3.078,1.783,1.579,3.24,2.698,7.417,0.994,42,23.0,9.0,3.766,42.845,3.272,1383.0,354.0,14.787,72,83,8.0,0.5,4.0
54,3.933,2.125,2.713,35.0,3.282,1.993,1.846,3.75,2.174,5.556,0.83,46,20.0,11.0,4.794,46.223,3.282,1991.0,472.0,16.271,80,91,9.0,0.444,5.0
55,2.8,2.0,2.338,21.5,2.659,1.888,1.765,2.291,2.674,3.722,0.583,24,9.0,5.0,2.76,22.083,2.605,526.0,126.0,10.163,44,46,6.0,0.5,3.0
56,2.422,2.2,2.433,20.0,2.703,2.169,2.143,2.542,2.888,2.222,0.498,28,12.0,8.0,3.362,23.9,2.7,520.0,109.0,9.751,50,57,5.0,0.4,3.0
57,4.147,2.2,2.83,45.0,3.544,2.048,1.875,4.581,1.999,6.889,0.952,64,33.0,17.0,6.225,67.99,3.665,3436.0,788.0,19.506,108,128,10.0,0.5,5.0
58,2.444,2.0,2.317,20.0,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
59,2.444,2.0,2.317,20.5,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
60,2.894,2.167,2.39,25.0,2.921,2.089,2.0,3.031,2.195,3.333,0.622,34,14.0,9.0,3.84,31.017,2.928,860.0,191.0,11.984,60,69,6.0,0.5,3.0
61,2.444,2.0,2.223,18.5,2.498,1.876,1.742,2.111,2.848,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
62,3.333,1.778,1.578,19.0,2.537,1.714,1.636,2.016,2.595,3.75,0.875,14,6.0,0.0,2.107,16.461,2.31,438.0,120.0,9.835,30,28,8.0,0.5,4.0
63,2.667,2.0,2.381,22.5,2.623,1.835,1.667,2.257,3.003,4.333,0.582,26,11.0,6.0,2.635,22.6,2.642,498.0,120.0,9.95,46,50,6.0,0.5,3.0
64,2.636,2.0,2.362,26.667,2.756,1.732,1.5,2.619,3.604,6.667,0.741,36,21.0,9.0,2.863,31.6,3.026,696.0,174.0,11.444,60,72,5.0,0.2,4.0
65,2.978,2.286,2.732,28.0,3.128,2.246,2.211,3.533,2.61,2.944,0.641,44,22.0,13.0,4.919,41.143,3.203,1284.0,271.0,13.696,76,91,7.0,0.429,4.0
66,2.611,2.0,2.197,18.5,2.535,1.937,1.862,2.162,2.615,2.861,0.646,20,8.0,4.0,2.584,18.683,2.447,399.0,94.0,9.099,38,40,6.0,0.5,3.0
67,3.064,2.154,2.541,29.0,3.006,2.037,1.902,3.162,2.279,4.194,0.664,38,16.0,10.0,4.016,35.06,3.045,1053.0,239.0,12.969,66,76,7.0,0.429,4.0
68,2.848,2.0,2.472,28.0,2.808,1.817,1.636,2.677,3.267,5.444,0.725,32,16.0,7.0,3.113,30.433,2.962,756.0,188.0,11.806,56,63,5.0,0.4,3.0
69,2.444,2.0,2.317,20.5,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
70,1.8,1.6,1.275,12.0,1.556,1.431,1.304,0.985,2.54,3.361,0.5,8,2.0,1.0,0.778,6.667,1.556,68.0,18.0,4.301,16,14,3.0,0.333,2.0
71,2.444,2.0,2.32,20.5,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
72,2.444,2.0,2.321,21.0,2.498,1.876,1.742,2.111,2.981,3.472,0.54,22,9.0,5.0,2.459,19.15,2.494,375.0,88.0,8.86,40,43,5.0,0.4,3.0
73,2.848,2.0,2.478,28.5,2.808,1.817,1.636,2.677,3.267,5.444,0.725,32,16.0,7.0,3.113,30.433,2.962,756.0,188.0,11.806,56,63,5.0,0.4,3.0
74,2.133,1.667,1.722,14.5,1.863,1.513,1.385,1.171,2.831,3.611,0.562,10,3.0,1.0,1.079,9.0,1.799,118.0,32.0,5.699,20,18,4.0,0.5,2.0
75,3.121,1.833,2.167,30.0,2.757,1.619,1.44,2.555,4.08,6.944,1.037,28,16.0,4.0,2.511,28.743,2.902,742.0,206.0,12.103,50,55,7.0,0.429,4.0
76,2.19,1.714,2.1,17.5,2.025,1.486,1.333,1.259,3.602,4.562,0.516,16,4.0,3.0,1.204,12.083,2.097,170.0,46.0,6.681,28,26,4.0,0.5,2.0
77,2.894,2.167,2.575,25.0,2.906,2.089,2.0,3.025,2.548,3.333,0.726,34,15.0,9.0,3.84,31.093,2.929,849.0,191.0,11.955,60,70,7.0,0.429,4.0
78,2.179,2.0,2.392,19.0,2.338,1.861,1.714,1.807,3.502,3.222,0.458,20,7.0,5.0,2.158,16.083,2.346,268.0,61.0,7.614,36,38,4.0,0.25,3.0
79,1.5,1.5,1.463,10.0,1.176,1.316,1.2,0.511,2.803,3.111,0.333,6,0.0,1.0,0.477,4.5,1.255,36.0,9.0,2.894,12,9,2.0,0.5,1.0
80,4.37,2.222,2.999,59.0,3.825,2.022,1.81,6.018,2.166,10.285,1.349,94,54.0,26.0,8.259,112.602,4.209,6578.0,1534.0,24.46,154,190,10.0,0.5,5.0
81,2.818,2.0,2.495,27.0,2.724,1.801,1.61,2.536,2.93,5.194,0.643,30,12.0,7.0,2.812,26.283,2.786,630.0,155.0,10.952,52,58,6.0,0.5,3.0
82,3.33,2.0,2.54,33.0,3.017,1.805,1.615,3.093,3.058,6.556,0.933,38,20.0,8.0,3.59,38.021,3.141,1196.0,303.0,13.96,66,75,7.0,0.429,4.0
83,2.836,2.0,2.385,25.0,2.743,1.849,1.692,2.526,2.851,4.583,0.664,28,13.0,6.0,2.937,26.117,2.783,641.0,156.0,11.032,50,55,6.0,0.5,3.0
84,3.897,2.118,2.748,37.0,3.325,1.96,1.789,3.9,2.479,6.417,0.995,50,26.0,12.0,4.97,51.779,3.404,2212.0,530.0,16.969,86,100,10.0,0.5,5.0
85,4.862,2.286,2.988,62.5,3.947,2.155,2.0,6.684,1.634,8.333,1.485,96,53.0,27.0,9.338,116.108,4.193,8243.0,1838.0,25.793,160,200,12.0,0.5,6.0
86,2.978,2.286,2.738,29.0,3.128,2.246,2.211,3.533,2.61,2.944,0.641,44,22.0,13.0,4.919,41.143,3.203,1284.0,271.0,13.696,76,91,7.0,0.429,4.0
87,2.835,2.143,2.79,32.0,3.005,1.912,1.68,3.273,3.221,6.278,0.76,46,25.0,13.0,3.942,41.35,3.256,1105.0,258.0,13.321,76,94,6.0,0.333,4.0
88,4.264,2.182,2.891,48.0,3.622,2.043,1.886,5.223,2.232,7.389,1.343,68,36.0,17.0,6.827,78.6,3.832,4196.0,985.0,21.055,116,141,10.0,0.5,5.0
89,5.279,2.148,3.08,61.0,3.882,1.963,1.77,6.058,2.224,10.562,1.531,86,47.0,21.0,7.906,104.111,4.08,7685.0,1853.0,25.506,144,173,13.0,0.462,7.0
90,2.667,2.167,2.675,26.5,2.873,2.04,1.895,2.868,3.045,3.944,0.62,36,18.0,10.0,3.715,32.0,2.994,790.0,176.0,11.626,62,73,5.0,0.4,3.0
91,4.7,2.16,2.965,52.333,3.775,2.015,1.852,5.712,2.2,8.75,1.406,76,43.0,18.0,7.605,94.092,4.015,5943.0,1410.0,23.584,130,155,11.0,0.455,6.0
92,3.229,2.133,2.649,35.5,3.142,1.977,1.818,3.553,2.576,5.396,0.705,46,20.0,12.0,4.442,44.15,3.296,1455.0,339.0,14.708,78,90,6.0,0.5,3.0
93,5.049,2.154,3.096,59.0,3.831,1.94,1.724,5.777,2.298,10.924,1.382,86,48.0,22.0,7.48,99.96,4.036,6835.0,1641.0,24.598,142,173,13.0,0.462,7.0
94,2.356,2.2,2.546,22.0,2.674,2.107,2.0,2.565,2.931,2.833,0.497,30,12.0,9.0,3.238,24.2,2.722,501.0,106.0,9.611,52,61,5.0,0.4,3.0
95,4.162,2.19,2.947,45.5,3.587,2.062,1.924,4.837,2.237,6.618,0.954,66,33.0,17.0,6.6,73.192,3.759,3795.0,874.0,20.262,112,131,9.0,0.444,5.0
96,4.029,2.19,2.9,44.5,3.559,2.006,1.813,4.813,2.351,7.84,0.951,70,35.0,19.0,6.35,74.554,3.779,3631.0,846.0,20.052,116,139,9.0,0.444,5.0
97,7.444,2.105,3.079,82.5,4.325,1.958,1.802,8.236,1.903,13.924,2.303,110,57.0,22.0,11.093,160.31,4.521,21262.0,5233.0,34.687,190,216,18.0,0.5,9.0
98,3.0,2.167,2.485,25.0,2.949,2.14,2.118,3.01,2.457,2.722,0.623,32,14.0,8.0,3.965,30.576,2.904,898.0,198.0,12.157,58,65,7.0,0.429,4.0
99,2.444,2.0,2.373,20.25,2.571,1.783,1.579,2.185,3.311,4.944,0.58,28,13.0,7.0,2.511,23.283,2.712,456.0,110.0,9.613,48,54,5.0,0.4,3.0
100,3.41,2.0,2.512,29.667,2.973,1.831,1.66,2.848,2.719,5.694,0.748,34,15.0,7.0,3.414,33.062,2.983,1065.0,266.0,13.308,60,65,8.0,0.5,4.0
101,4.133,2.0,2.547,33.667,3.197,1.852,1.698,3.291,2.405,6.194,0.873,38,17.0,7.0,4.016,39.736,3.141,1727.0,434.0,15.684,68,73,10.0,0.5,5.0
102,2.727,2.0,2.466,26.0,2.71,1.801,1.61,2.402,3.196,5.194,0.643,30,14.0,7.0,2.812,26.6,2.816,611.0,150.0,10.833,52,58,6.0,0.5,3.0
103,4.838,2.087,2.913,53.0,3.684,1.912,1.736,5.072,2.386,9.229,1.388,68,36.0,15.0,6.475,80.102,3.839,4990.0,1224.0,22.352,116,134,12.0,0.5,6.0
104,3.077,2.0,2.574,32.0,2.911,1.791,1.592,2.83,3.267,6.306,0.766,36,18.0,8.0,3.289,34.3,3.053,953.0,240.0,12.857,62,70,6.0,0.5,3.0
105,2.333,2.0,2.384,20.5,2.464,1.817,1.636,1.933,3.332,4.083,0.5,24,9.0,6.0,2.334,19.5,2.534,357.0,84.0,8.647,42,45,4.0,0.25,3.0
106,4.026,2.111,2.839,41.5,3.393,1.919,1.728,4.109,2.449,7.368,0.894,56,27.0,14.0,5.095,56.662,3.489,2570.0,616.0,17.889,94,110,10.0,0.5,5.0
107,3.011,2.286,2.699,28.5,3.123,2.2,2.1,3.523,2.274,3.556,0.62,46,21.0,14.0,4.794,41.169,3.193,1287.0,274.0,13.704,78,94,7.0,0.429,4.0
108,3.924,2.211,2.791,43.833,3.467,2.05,1.869,4.512,2.023,6.639,1.013,62,30.0,17.0,5.924,63.44,3.602,2920.0,671.0,18.47,104,126,9.0,0.444,5.0
109,2.143,2.0,2.361,17.5,2.33,1.861,1.714,1.86,3.347,3.222,0.478,20,8.0,5.0,2.158,16.167,2.365,264.0,60.0,7.576,36,39,4.0,0.25,3.0
110,2.795,2.154,2.713,28.667,2.954,1.992,1.814,3.053,3.057,4.806,0.681,40,21.0,11.0,3.891,36.317,3.118,958.0,218.0,12.569,68,81,6.0,0.5,3.0
111,1.733,2.0,2.038,14.0,1.978,1.906,1.8,1.526,3.05,2.111,0.354,14,2.0,4.0,1.681,10.167,1.949,126.0,26.0,5.236,26,27,3.0,0.333,2.0
112,5.372,2.154,2.989,56.0,3.885,2.027,1.891,5.918,1.92,8.479,1.393,78,42.0,18.0,7.98,96.473,4.002,7462.0,1746.0,25.097,134,157,14.0,0.5,7.0
113,2.536,1.75,2.142,19.5,2.253,1.542,1.391,1.564,3.421,4.812,0.578,18,5.0,3.0,1.505,14.767,2.255,260.0,71.0,8.027,32,30,5.0,0.4,3.0
114,3.842,2.211,2.779,44.0,3.458,2.05,1.869,4.547,2.035,6.639,1.052,62,32.0,17.0,5.924,63.946,3.616,2862.0,657.0,18.383,104,128,9.0,0.444,5.0
115,3.044,2.143,2.75,32.0,3.045,1.993,1.826,3.369,2.864,5.056,0.848,42,21.0,11.0,4.192,40.06,3.2,1187.0,277.0,13.662,72,86,7.0,0.429,4.0
116,2.643,1.75,1.982,20.5,2.281,1.565,1.412,1.606,3.182,4.722,0.562,16,5.0,2.0,1.556,14.467,2.23,270.0,74.0,8.133,30,28,5.0,0.4,3.0
117,4.033,2.19,2.868,44.667,3.569,2.045,1.881,4.852,2.204,7.139,1.034,66,38.0,17.0,6.526,74.313,3.779,3663.0,847.0,20.083,112,133,9.0,0.444,5.0
118,4.696,2.286,2.974,63.0,3.929,2.155,2.0,6.681,1.718,8.333,1.465,96,52.0,27.0,9.338,116.83,4.228,7946.0,1775.0,25.581,160,199,10.0,0.5,5.0
119,2.0,2.0,2.134,15.0,2.196,1.919,1.826,1.674,3.021,2.361,0.417,16,5.0,4.0,1.982,12.917,2.143,193.0,42.0,6.529,30,31,4.0,0.25,3.0
120,2.945,2.0,2.411,22.667,2.752,1.849,1.692,2.526,2.914,4.583,0.748,28,13.0,6.0,2.937,25.919,2.763,659.0,162.0,11.128,50,55,7.0,0.429,4.0
121,3.282,2.0,2.504,30.0,2.948,1.831,1.66,2.876,2.923,5.694,0.853,34,16.0,7.0,3.414,33.455,3.007,1019.0,256.0,13.134,60,66,7.0,0.429,4.0
122,2.909,2.0,2.408,25.0,2.749,1.849,1.692,2.526,2.895,4.583,0.748,28,13.0,6.0,2.937,25.976,2.767,653.0,160.0,11.094,50,55,7.0,0.429,4.0
123,4.585,2.261,2.881,53.0,3.744,2.115,1.944,5.497,1.627,7.361,1.071,78,38.0,22.0,7.48,83.648,3.863,5208.0,1160.0,22.181,130,160,11.0,0.455,6.0
124,3.608,2.211,2.766,41.0,3.44,2.1,1.983,4.573,2.231,5.507,0.953,60,32.0,16.0,6.123,64.899,3.673,2714.0,617.0,18.2,102,124,8.0,0.5,4.0
125,4.524,2.095,2.75,46.833,3.579,1.941,1.775,4.706,2.318,8.028,1.14,60,34.0,13.0,6.049,70.368,3.71,3913.0,950.0,20.645,104,119,11.0,0.455,6.0
126,4.326,2.0,2.732,44.833,3.454,1.783,1.579,4.213,3.279,9.889,1.284,56,31.0,11.0,5.021,64.875,3.653,3168.0,822.0,19.604,96,110,10.0,0.5,5.0
127,3.647,2.118,2.668,39.833,3.292,1.928,1.729,3.893,2.32,7.028,1.013,52,27.0,13.0,4.845,52.896,3.444,2067.0,496.0,16.669,88,105,9.0,0.444,5.0
128,3.876,2.111,2.728,42.0,3.366,1.931,1.742,4.135,2.349,7.278,1.16,54,28.0,13.0,5.146,57.01,3.513,2450.0,593.0,17.658,92,109,9.0,0.444,5.0
129,3.038,2.154,2.677,30.0,2.987,1.992,1.814,3.105,2.685,4.806,0.643,40,17.0,11.0,3.891,35.386,3.05,1033.0,237.0,12.872,68,79,7.0,0.429,4.0
130,3.745,2.111,2.744,44.5,3.349,1.901,1.688,4.069,2.416,7.889,1.074,56,30.0,14.0,5.021,57.906,3.536,2366.0,573.0,17.497,94,113,9.0,0.444,5.0
131,3.242,2.143,2.688,31.5,3.078,1.993,1.826,3.305,2.549,5.056,0.705,42,18.0,11.0,4.192,39.221,3.15,1267.0,295.0,13.913,72,83,7.0,0.429,4.0
132,3.783,2.125,2.676,34.0,3.259,1.993,1.846,3.789,2.304,5.556,0.934,46,21.0,11.0,4.794,46.764,3.305,1905.0,454.0,16.09,80,92,9.0,0.444,5.0
133,3.275,2.143,2.637,30.0,3.081,2.034,1.909,3.425,2.518,4.444,0.934,40,19.0,10.0,4.317,39.004,3.143,1275.0,298.0,13.964,70,82,8.0,0.5,4.0
134,3.067,2.267,2.843,31.5,3.187,2.186,2.093,3.694,2.702,3.806,0.702,48,25.0,14.0,5.095,45.91,3.319,1493.0,322.0,14.546,82,99,7.0,0.429,4.0
135,4.229,2.111,2.762,39.333,3.407,1.963,1.8,4.155,2.258,6.667,1.058,52,25.0,12.0,5.271,55.264,3.459,2673.0,647.0,18.081,90,104,10.0,0.5,5.0
136,4.229,2.111,2.76,40.0,3.407,1.963,1.8,4.155,2.258,6.667,1.058,52,25.0,12.0,5.271,55.264,3.459,2673.0,647.0,18.081,90,104,10.0,0.5,5.0
137,3.229,2.267,2.7,32.0,3.203,2.186,2.093,3.778,2.243,3.806,0.787,48,23.0,14.0,5.095,45.204,3.279,1558.0,339.0,14.735,82,99,8.0,0.5,4.0
138,3.292,2.125,2.814,36.333,3.182,1.923,1.714,3.729,2.948,6.778,0.989,50,28.0,13.0,4.544,49.496,3.404,1645.0,395.0,15.46,84,103,8.0,0.5,4.0
139,4.058,2.211,2.8,42.0,3.497,2.081,1.932,4.43,1.958,6.028,0.891,60,30.0,16.0,6.049,62.627,3.581,3059.0,694.0,18.697,102,120,10.0,0.5,5.0
140,3.83,2.222,2.771,39.0,3.431,2.12,2.0,4.281,1.984,5.167,0.85,56,28.0,15.0,5.873,58.094,3.515,2616.0,586.0,17.73,96,113,9.0,0.444,5.0
141,3.292,2.125,2.812,37.0,3.182,1.923,1.714,3.729,2.948,6.778,0.989,50,28.0,13.0,4.544,49.496,3.404,1645.0,395.0,15.46,84,103,8.0,0.5,4.0
142,2.712,2.167,2.638,27.5,2.875,2.04,1.895,2.972,2.819,3.944,0.62,36,16.0,10.0,3.715,31.783,2.98,799.0,179.0,11.681,62,73,5.0,0.4,3.0
143,3.654,2.222,2.855,40.0,3.398,2.053,1.862,4.355,2.289,6.389,0.885,60,30.0,17.0,5.623,59.448,3.547,2472.0,559.0,17.475,100,123,8.0,0.375,5.0
144,6.536,2.0,2.826,51.0,3.827,1.861,1.714,5.227,2.313,9.667,1.595,60,34.0,9.0,6.475,76.613,3.761,7084.0,1804.0,24.619,108,121,17.0,0.471,9.0
145,10.598,2.062,3.222,147.5,4.955,1.89,1.714,13.423,1.859,26.785,3.592,184,103.0,32.0,17.971,338.687,5.323,89561.0,22044.0,52.536,318,360,25.0,0.28,18.0
146,5.512,2.138,3.042,64.833,3.964,1.973,1.794,6.479,2.091,10.972,1.614,88,47.0,20.0,8.56,114.175,4.193,9258.0,2238.0,27.148,150,177,14.0,0.5,7.0
147,2.711,1.8,2.215,23.167,2.501,1.578,1.412,2.049,4.074,5.924,0.859,24,11.0,4.0,1.982,21.717,2.646,440.0,122.0,9.944,42,44,5.0,0.4,3.0
148,3.018,2.0,2.404,24.5,2.77,1.849,1.692,2.456,2.736,4.583,0.625,28,11.0,6.0,2.937,25.652,2.741,679.0,166.0,11.226,50,53,7.0,0.429,4.0
149,3.467,2.0,2.642,34.75,3.095,1.769,1.565,3.137,3.167,7.507,0.769,44,20.0,10.0,3.715,42.44,3.245,1429.0,364.0,14.887,74,82,7.0,0.429,4.0
150,3.295,2.0,2.626,31.0,2.943,1.774,1.576,2.834,2.939,6.396,0.646,38,14.0,9.0,3.238,33.707,3.009,1020.0,257.0,13.126,64,70,7.0,0.429,4.0
151,3.824,2.0,2.609,38.833,3.305,1.846,1.688,4.002,3.144,7.556,1.41,46,27.0,8.0,4.794,55.602,3.549,2268.0,585.0,17.61,82,94,8.0,0.5,4.0
152,5.091,2.091,2.811,49.0,3.683,1.933,1.772,4.86,1.998,8.368,1.118,64,31.0,14.0,6.299,72.994,3.726,4878.0,1176.0,21.97,110,124,13.0,0.462,7.0
153,1.8,1.6,1.633,12.5,1.556,1.431,1.304,0.985,2.847,3.361,0.5,8,2.0,1.0,0.778,6.667,1.556,68.0,18.0,4.301,16,14,3.0,0.333,2.0
154,3.197,1.833,2.248,27.5,2.772,1.619,1.44,2.396,4.045,6.944,0.79,28,12.0,4.0,2.511,28.317,2.898,762.0,211.0,12.185,50,51,6.0,0.5,3.0
155,3.714,2.0,2.542,33.5,3.148,1.852,1.698,3.31,2.67,6.194,0.873,38,17.0,7.0,4.016,40.817,3.209,1555.0,390.0,15.263,68,73,8.0,0.5,4.0
156,4.026,2.111,2.77,40.0,3.393,1.963,1.8,4.152,2.256,6.667,0.954,52,24.0,12.0,5.271,55.797,3.493,2571.0,616.0,17.873,90,103,9.0,0.444,5.0
157,3.105,2.267,2.806,31.5,3.196,2.186,2.093,3.695,2.663,3.806,0.702,48,25.0,14.0,5.095,45.769,3.309,1515.0,326.0,14.609,82,99,7.0,0.429,4.0
158,3.791,2.0,2.488,31.5,3.086,1.842,1.68,3.053,2.68,5.944,0.792,36,15.0,7.0,3.715,36.359,3.063,1368.0,345.0,14.518,64,68,9.0,0.444,5.0
159,5.513,2.0,2.697,60.5,3.844,1.837,1.67,5.889,2.823,11.639,1.93,70,38.0,11.0,7.128,97.655,4.073,7498.0,1935.0,25.762,124,140,13.0,0.462,7.0
160,3.775,2.125,2.737,37.5,3.257,1.993,1.846,3.77,2.361,5.556,0.954,46,22.0,11.0,4.794,46.951,3.307,1899.0,453.0,16.105,80,93,9.0,0.444,5.0
161,3.954,2.222,2.847,37.0,3.446,2.12,2.0,4.291,2.198,5.167,0.85,56,28.0,15.0,5.873,57.633,3.496,2700.0,605.0,17.865,96,113,10.0,0.5,5.0
162,3.549,2.0,2.651,31.0,3.055,1.842,1.68,3.139,3.127,5.944,1.019,36,18.0,7.0,3.715,37.057,3.099,1282.0,323.0,14.24,64,71,8.0,0.5,4.0
163,4.926,2.1,2.784,44.5,3.582,1.966,1.818,4.545,2.037,7.167,1.164,56,28.0,12.0,5.873,62.717,3.57,3888.0,936.0,20.28,98,111,12.0,0.5,6.0
164,3.719,2.0,2.585,38.833,3.289,1.846,1.688,4.027,3.277,7.556,1.515,46,28.0,8.0,4.794,56.157,3.577,2198.0,569.0,17.459,82,95,7.0,0.429,4.0
165,4.418,2.111,2.743,39.5,3.427,1.994,1.862,4.222,2.194,6.056,1.144,50,23.0,11.0,5.396,54.293,3.435,2790.0,676.0,18.294,88,100,12.0,0.5,6.0
166,2.333,2.2,2.559,23.0,2.67,2.107,2.0,2.571,2.93,2.833,0.497,30,12.0,9.0,3.238,24.25,2.732,497.0,105.0,9.576,52,61,4.0,0.25,3.0
167,2.949,2.0,2.156,32.0,2.885,1.791,1.592,2.898,2.659,6.306,0.994,36,21.0,8.0,3.289,34.85,3.091,909.0,230.0,12.688,62,73,6.0,0.333,4.0
168,7.791,2.059,2.908,71.0,4.234,1.876,1.693,7.163,1.821,14.424,1.871,98,52.0,19.0,9.287,132.18,4.294,17510.0,4371.0,32.426,168,191,21.0,0.476,11.0
169,4.545,2.091,2.907,49.833,3.604,1.873,1.671,4.674,2.423,9.681,1.138,70,36.0,17.0,5.998,76.919,3.796,4242.0,1050.0,21.334,116,135,12.0,0.5,6.0
170,3.371,2.0,2.429,33.0,3.078,1.783,1.579,3.229,3.201,7.417,0.87,42,21.0,9.0,3.766,42.6,3.279,1383.0,354.0,14.757,72,81,6.0,0.333,4.0
171,4.314,2.111,2.621,37.5,3.436,1.963,1.8,4.066,1.938,6.667,0.934,52,25.0,12.0,5.271,54.818,3.451,2780.0,660.0,18.203,90,102,10.0,0.5,5.0
172,4.638,2.25,2.828,50.0,3.787,2.161,2.057,5.719,1.61,6.389,1.117,76,38.0,20.0,8.031,88.72,3.952,5734.0,1280.0,22.905,130,155,10.0,0.5,5.0
173,3.559,2.118,2.656,37.0,3.286,1.947,1.774,3.866,2.401,6.507,1.01,52,29.0,13.0,4.919,53.428,3.463,2030.0,484.0,16.616,88,105,9.0,0.444,5.0
174,3.725,2.0,2.539,32.0,3.085,1.842,1.68,3.102,2.608,5.944,0.811,36,16.0,7.0,3.715,36.488,3.069,1354.0,339.0,14.474,64,69,9.0,0.444,5.0
175,3.219,2.133,2.73,32.5,3.136,1.955,1.765,3.514,2.75,5.917,0.824,46,24.0,12.0,4.368,44.419,3.29,1443.0,338.0,14.684,78,94,7.0,0.429,4.0
176,2.705,2.154,2.759,30.0,2.929,1.948,1.733,3.13,3.212,5.417,0.699,42,22.0,12.0,3.766,36.833,3.147,922.0,211.0,12.404,70,86,5.0,0.2,4.0
177,4.857,2.071,2.905,62.333,3.84,1.916,1.75,6.15,2.674,11.0,1.925,78,47.0,15.0,7.906,110.945,4.232,7288.0,1836.0,25.743,136,160,11.0,0.455,6.0
178,5.267,2.16,2.943,52.833,3.831,2.038,1.899,5.71,1.908,8.139,1.454,74,39.0,17.0,7.73,90.307,3.94,6693.0,1580.0,24.167,128,149,13.0,0.462,7.0
179,4.052,2.273,2.868,46.833,3.657,2.205,2.129,5.32,1.884,5.278,0.994,70,39.0,19.0,7.554,80.785,3.869,4247.0,936.0,20.873,120,143,9.0,0.444,5.0
180,3.0,2.167,2.356,25.0,2.949,2.14,2.118,3.01,2.083,2.722,0.623,32,14.0,8.0,3.965,30.576,2.904,898.0,198.0,12.157,58,65,7.0,0.429,4.0
181,3.775,2.125,2.614,35.5,3.271,1.993,1.846,3.832,2.167,5.556,0.954,46,22.0,11.0,4.794,46.925,3.307,1924.0,453.0,16.123,80,93,9.0,0.444,5.0
182,3.971,2.211,2.793,41.0,3.481,2.081,1.932,4.553,2.033,6.028,1.053,60,32.0,16.0,6.049,63.275,3.596,2977.0,679.0,18.604,102,124,10.0,0.5,5.0
183,4.439,2.105,2.635,42.5,3.483,1.965,1.81,4.368,2.015,6.917,1.101,54,25.0,12.0,5.572,59.335,3.533,3141.0,759.0,19.053,94,107,11.0,0.455,6.0
184,3.309,2.235,2.76,37.0,3.311,2.091,1.925,4.005,2.296,5.528,0.824,56,31.0,16.0,5.447,55.688,3.509,2019.0,450.0,16.304,94,115,7.0,0.429,4.0
185,4.835,2.276,2.982,65.0,3.968,2.15,2.0,6.91,1.713,8.583,1.632,98,54.0,27.0,9.639,122.597,4.273,8731.0,1963.0,26.387,164,204,11.0,0.455,6.0
186,3.121,2.143,2.694,30.0,3.069,1.993,1.826,3.326,2.688,5.056,0.744,42,20.0,11.0,4.192,39.71,3.177,1230.0,284.0,13.806,72,85,7.0,0.429,4.0
187,2.955,2.0,2.484,27.0,2.823,1.817,1.636,2.684,3.134,5.444,0.809,32,16.0,7.0,3.113,30.15,2.925,782.0,195.0,11.922,56,63,6.0,0.5,3.0
188,3.579,2.3,2.85,42.5,3.515,2.163,2.0,4.777,2.054,6.0,0.904,70,40.0,21.0,6.702,72.719,3.761,3110.0,680.0,18.793,116,145,8.0,0.5,4.0
189,4.12,2.24,3.031,57.5,3.741,2.081,1.899,5.869,2.335,8.472,1.318,84,48.0,23.0,7.958,100.441,4.111,5376.0,1236.0,22.854,140,174,9.0,0.444,5.0
190,3.3,2.3,2.655,45.0,3.471,2.107,1.905,4.686,1.837,6.792,0.87,76,48.0,24.0,6.475,75.552,3.825,2857.0,627.0,18.379,122,156,7.0,0.429,4.0
191,3.154,2.0,2.536,30.0,2.93,1.831,1.66,2.863,3.044,5.694,0.768,34,16.0,7.0,3.414,33.783,3.04,981.0,246.0,12.994,60,66,6.0,0.5,3.0
192,7.291,2.235,3.083,72.5,4.29,2.163,2.082,7.986,1.21,8.611,1.662,104,51.0,25.0,11.394,136.941,4.324,18048.0,4090.0,32.097,180,210,20.0,0.5,10.0
